"Step","linear_SCM_learned_d4_900_GES_PC - [true] recall (PC)","linear_SCM_learned_d4_900_GES_PC - [true] recall (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] recall (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] recall (PC)","linear_SCM_learned_d4_900_GES_PC - [learned] recall (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] recall (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] recall (PC)","linear_SCM_learned_d4_900_GES_PC - [noisy] recall (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] recall (PC)__MAX"
"26","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"27","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5"
"28","0.5","0.5","0.5","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"29","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5"
"30","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"31","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5"
"32","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"33","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"34","0.4","0.4","0.4","0.8","0.8","0.8","0.6","0.6","0.6"
"35","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"36","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"37","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"38","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"39","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"40","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5","0.5","0.5","0.5"
"41","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"42","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"43","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"44","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"45","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"46","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"47","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"48","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"49","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"50","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"51","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"52","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"53","0.5","0.5","0.5","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"54","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"55","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"56","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"57","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5"
"58","0.5","0.5","0.5","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"59","0.5","0.5","0.5","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"60","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"61","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"62","0.4","0.4","0.4","0.4","0.4","0.4","0.8","0.8","0.8"
"63","0.8","0.8","0.8","0.6","0.6","0.6","0.4","0.4","0.4"
"64","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"65","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"66","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"67","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"68","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5"
"69","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"70","0.5","0.5","0.5","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"71","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"72","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"73","0.4","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.6"
"74","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"75","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"76","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"77","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5","0","0","0"
"78","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
