"Step","linear_SCM_learned_d4_900_GES_PC - [true] precision (PC)","linear_SCM_learned_d4_900_GES_PC - [true] precision (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] precision (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] precision (PC)","linear_SCM_learned_d4_900_GES_PC - [learned] precision (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] precision (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] precision (PC)","linear_SCM_learned_d4_900_GES_PC - [noisy] precision (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] precision (PC)__MAX"
"63","1","1","1","0.5","0.5","0.5","0.4","0.4","0.4"
"64","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.4","0.4","0.4","0.2","0.2","0.2"
"65","0.75","0.75","0.75","0.8","0.8","0.8","0.4","0.4","0.4"
"66","0.8","0.8","0.8","0.25","0.25","0.25","0.4","0.4","0.4"
"67","0","0","0","0.8","0.8","0.8","0.4","0.4","0.4"
"68","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.75","0.75","0.75"
"69","0.2","0.2","0.2","1","1","1","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"70","0.75","0.75","0.75","0.6","0.6","0.6","0.5","0.5","0.5"
"71","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"72","0.25","0.25","0.25","1","1","1","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"73","0.5","0.5","0.5","0.5","0.5","0.5","0.75","0.75","0.75"
"74","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"75","0.4","0.4","0.4","0.5","0.5","0.5","0.25","0.25","0.25"
"76","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.2","0.2","0.2"
"77","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6","0.6","0.6","0","0","0"
"78","0.5","0.5","0.5","0.25","0.25","0.25","0.4","0.4","0.4"
"79","0.75","0.75","0.75","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"80","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.8","0.8","0.8","0.4","0.4","0.4"
"81","0.8","0.8","0.8","0.8","0.8","0.8","0","0","0"
"82","0.3333333333333333","0.3333333333333333","0.3333333333333333","1","1","1","0.6","0.6","0.6"
"83","0","0","0","0.8","0.8","0.8","0","0","0"
"84","0.2","0.2","0.2","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4","0.4","0.4"
"85","0","0","0","0.6","0.6","0.6","0","0","0"
"86","0.8","0.8","0.8","0.75","0.75","0.75","0.75","0.75","0.75"
"87","0","0","0","0.8","0.8","0.8","0","0","0"
