"Step","linear_SCM_learned_d4_900_GES_PC - [true] F1 (PC)","linear_SCM_learned_d4_900_GES_PC - [true] F1 (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] F1 (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (PC)","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (PC)","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (PC)__MAX"
"1","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.6","0.6","0.6","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"2","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4","0.4","0.4"
"3","0.25","0.25","0.25","0.6666666666666665","0.6666666666666665","0.6666666666666665","0.4000000000000001","0.4000000000000001","0.4000000000000001"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6","0.6","0.6","0","0","0"
"5","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.4","0.4","0.4"
"7","0.2","0.2","0.2","0","0","0","0","0","0"
"8","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.4","0.4","0.4","0.4","0.4","0.4"
"9","0","0","0","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"10","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.6","0.6","0.6"
"11","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"12","0.2","0.2","0.2","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.8","0.8","0.8"
"13","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"14","0.4","0.4","0.4","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.6","0.6","0.6"
"15","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"16","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"17","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6","0.6","0.6","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"18","0.4","0.4","0.4","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6","0.6","0.6"
"19","0.4","0.4","0.4","0.4","0.4","0.4","0.8","0.8","0.8"
"20","0.5","0.5","0.5","0.6","0.6","0.6","0","0","0"
"21","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"22","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.2","0.2","0.2"
"23","0.2","0.2","0.2","0.5","0.5","0.5","0.2","0.2","0.2"
"24","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"25","0.2","0.2","0.2","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.4","0.4","0.4"
"26","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2","0.2","0.2"
"27","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6","0.6","0.6"
"28","0.6","0.6","0.6","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"29","0.2","0.2","0.2","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"30","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.5","0.5","0.5","0.2","0.2","0.2"
"31","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2","0.2","0.2","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"32","0.2","0.2","0.2","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"33","0.4","0.4","0.4","0.2","0.2","0.2","0.4","0.4","0.4"
"34","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.8000000000000002","0.8000000000000002","0.8000000000000002","0.6","0.6","0.6"
"35","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"36","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0","0.4","0.4","0.4"
"37","0.4","0.4","0.4","0.4","0.4","0.4","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"38","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"39","0.6","0.6","0.6","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"40","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"41","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.8","0.8","0.8","0.4","0.4","0.4"
"42","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"43","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"44","0.5","0.5","0.5","0.6","0.6","0.6","0","0","0"
"45","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"46","0.2","0.2","0.2","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"47","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"48","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"49","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.4","0.4","0.4","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"50","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.2","0.2","0.2","0.2","0.2","0.2"
"51","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.8","0.8","0.8","0.2","0.2","0.2"
"52","0.6","0.6","0.6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"53","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"54","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.6","0.6","0.6","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"55","0.3636363636363636","0.3636363636363636","0.3636363636363636","0","0","0","0.8","0.8","0.8"
"56","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.2","0.2","0.2"
"57","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.8","0.8","0.8","0.5","0.5","0.5"
"58","0.6","0.6","0.6","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"59","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"60","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.5","0.5","0.5","0.2","0.2","0.2"
"61","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"62","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"63","0.888888888888889","0.888888888888889","0.888888888888889","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.4000000000000001","0.4000000000000001","0.4000000000000001"
"64","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"65","0.6","0.6","0.6","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"66","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.2","0.2","0.2","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"67","0","0","0","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"68","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6","0.6","0.6"
"69","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"70","0.6","0.6","0.6","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.4","0.4","0.4"
"71","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"72","0.2","0.2","0.2","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"73","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.6666666666666665","0.6666666666666665","0.6666666666666665"
"74","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.2222222222222222","0.2222222222222222","0.2222222222222222","0","0","0"
"75","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.4","0.4","0.4","0.2","0.2","0.2"
"76","0.4","0.4","0.4","0.2222222222222222","0.2222222222222222","0.2222222222222222","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"77","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5454545454545454","0.5454545454545454","0.5454545454545454","0","0","0"
"78","0.4","0.4","0.4","0.2","0.2","0.2","0.3636363636363636","0.3636363636363636","0.3636363636363636"
