"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS+)__MAX"
"29","7.000000953674316","7.000000953674316","7.000000953674316","14.000001907348633","14.000001907348633","14.000001907348633","27.000001907348633","27.000001907348633","27.000001907348633"
"30","10","10","10","14.000001907348633","14.000001907348633","14.000001907348633","21.000001907348633","21.000001907348633","21.000001907348633"
"31","14.000001907348633","14.000001907348633","14.000001907348633","14.000001907348633","14.000001907348633","14.000001907348633","45","45","45"
"32","12.999999046325684","12.999999046325684","12.999999046325684","16","16","16","20.000001907348633","20.000001907348633","20.000001907348633"
"33","12.999999046325684","12.999999046325684","12.999999046325684","19","19","19","21.000001907348633","21.000001907348633","21.000001907348633"
"34","18","18","18","12","12","12","25.000001907348633","25.000001907348633","25.000001907348633"
"35","19","19","19","13.6287841796875","13.6287841796875","13.6287841796875","24","24","24"
"36","15.000000953674316","15.000000953674316","15.000000953674316","13.00000286102295","13.00000286102295","13.00000286102295","25.999998092651367","25.999998092651367","25.999998092651367"
"37","16","16","16","15.000146865844727","15.000146865844727","15.000146865844727","25.999998092651367","25.999998092651367","25.999998092651367"
"38","8","8","8","17","17","17","22.000001907348633","22.000001907348633","22.000001907348633"
"39","12","12","12","16","16","16","19","19","19"
"40","6","6","6","15.000000953674316","15.000000953674316","15.000000953674316","25.999998092651367","25.999998092651367","25.999998092651367"
"41","11.000000953674316","11.000000953674316","11.000000953674316","14.000001907348633","14.000001907348633","14.000001907348633","21.000001907348633","21.000001907348633","21.000001907348633"
"42","19","19","19","17","17","17","25.000001907348633","25.000001907348633","25.000001907348633"
