"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)__MAX"
"11","0.657689581856839","0.657689581856839","0.657689581856839","0.5701630049610206","0.5701630049610206","0.5701630049610206","0.634301913536499","0.634301913536499","0.634301913536499"
"12","0.6871013465627216","0.6871013465627216","0.6871013465627216","0.6541459957476967","0.6541459957476967","0.6541459957476967","0.4510985116938342","0.4510985116938342","0.4510985116938342"
"13","0.8143160878809356","0.8143160878809356","0.8143160878809356","0.6523742026931254","0.6523742026931254","0.6523742026931254","0.43373493975903615","0.43373493975903615","0.43373493975903615"
"14","0.8291991495393337","0.8291991495393337","0.8291991495393337","0.7172218284904324","0.7172218284904324","0.7172218284904324","0.5279943302622254","0.5279943302622254","0.5279943302622254"
"15","0.8043940467753365","0.8043940467753365","0.8043940467753365","0.6307583274273565","0.6307583274273565","0.6307583274273565","0.5627214741318214","0.5627214741318214","0.5627214741318214"
"16","0.6102055279943304","0.6102055279943304","0.6102055279943304","0.6722182849043231","0.6722182849043231","0.6722182849043231","0.5046066619418852","0.5046066619418852","0.5046066619418852"
"17","0.6938341601700921","0.6938341601700921","0.6938341601700921","0.6679659815733522","0.6679659815733522","0.6679659815733522","0.5279943302622254","0.5279943302622254","0.5279943302622254"
"18","0.7345854004252304","0.7345854004252304","0.7345854004252304","0.582211197732105","0.582211197732105","0.582211197732105","0.5861091424521616","0.5861091424521616","0.5861091424521616"
"19","0.6335931963146704","0.6335931963146704","0.6335931963146704","0.5885896527285613","0.5885896527285613","0.5885896527285613","0.6630049610205528","0.6630049610205528","0.6630049610205528"
"20","0.7643515237420269","0.7643515237420269","0.7643515237420269","0.5248051027639972","0.5248051027639972","0.5248051027639972","0.45641389085754785","0.45641389085754785","0.45641389085754785"
"21","0.7990786676116229","0.7990786676116229","0.7990786676116229","0.6116229624379872","0.6116229624379872","0.6116229624379872","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"22","0.8097094259390503","0.8097094259390503","0.8097094259390503","0.6172927002126153","0.6172927002126153","0.6172927002126153","0.6041814316087881","0.6041814316087881","0.6041814316087881"
