"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)__MAX"
"18","0.5806451612903226","0.5806451612903226","0.5806451612903226","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.31578947368421056","0.31578947368421056","0.31578947368421056"
"19","0.3888888888888889","0.3888888888888889","0.3888888888888889","0.26666666666666666","0.26666666666666666","0.26666666666666666","0.4324324324324324","0.4324324324324324","0.4324324324324324"
"20","0.5806451612903226","0.5806451612903226","0.5806451612903226","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"21","0.5517241379310345","0.5517241379310345","0.5517241379310345","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"22","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.30769230769230765","0.30769230769230765","0.30769230769230765","0.34285714285714286","0.34285714285714286","0.34285714285714286"
"23","0.6206896551724139","0.6206896551724139","0.6206896551724139","0.41379310344827586","0.41379310344827586","0.41379310344827586","0.22857142857142856","0.22857142857142856","0.22857142857142856"
"24","0.43749999999999994","0.43749999999999994","0.43749999999999994","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"25","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.24","0.24","0.24","0.5161290322580646","0.5161290322580646","0.5161290322580646"
"26","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.21428571428571427","0.21428571428571427","0.21428571428571427","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"27","0.3125","0.3125","0.3125","0.2608695652173913","0.2608695652173913","0.2608695652173913","0.11428571428571428","0.11428571428571428","0.11428571428571428"
"28","0.28571428571428575","0.28571428571428575","0.28571428571428575","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"29","0.7500000000000001","0.7500000000000001","0.7500000000000001","0.4","0.4","0.4","0.06666666666666667","0.06666666666666667","0.06666666666666667"
"30","0.6206896551724139","0.6206896551724139","0.6206896551724139","0.4","0.4","0.4","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"31","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"32","0.5185185185185185","0.5185185185185185","0.5185185185185185","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.25","0.25","0.25"
"33","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.1739130434782609","0.1739130434782609","0.1739130434782609","0.26666666666666666","0.26666666666666666","0.26666666666666666"
"34","0.45714285714285713","0.45714285714285713","0.45714285714285713","0.4347826086956522","0.4347826086956522","0.4347826086956522","0.125","0.125","0.125"
"35","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"36","0.45714285714285713","0.45714285714285713","0.45714285714285713","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.125","0.125","0.125"
"37","0.3870967741935484","0.3870967741935484","0.3870967741935484","0.31999999999999995","0.31999999999999995","0.31999999999999995","0.16216216216216214","0.16216216216216214","0.16216216216216214"
"38","0.7333333333333334","0.7333333333333334","0.7333333333333334","0.25","0.25","0.25","0.13793103448275862","0.13793103448275862","0.13793103448275862"
"39","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.3846153846153846","0.3846153846153846","0.3846153846153846","0.23076923076923078","0.23076923076923078","0.23076923076923078"
"40","0.8000000000000002","0.8000000000000002","0.8000000000000002","0.3478260869565218","0.3478260869565218","0.3478260869565218","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"41","0.6451612903225806","0.6451612903225806","0.6451612903225806","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.14814814814814817","0.14814814814814817","0.14814814814814817"
"42","0.3225806451612903","0.3225806451612903","0.3225806451612903","0.35714285714285715","0.35714285714285715","0.35714285714285715","0.06896551724137931","0.06896551724137931","0.06896551724137931"
"43","0.45161290322580644","0.45161290322580644","0.45161290322580644","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.1081081081081081","0.1081081081081081","0.1081081081081081"
"44","0.8000000000000002","0.8000000000000002","0.8000000000000002","0.48","0.48","0.48","0.12121212121212122","0.12121212121212122","0.12121212121212122"
"45","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.2608695652173913","0.2608695652173913","0.2608695652173913","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"46","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.46153846153846156","0.46153846153846156","0.46153846153846156","0.26666666666666666","0.26666666666666666","0.26666666666666666"
"47","0.5","0.5","0.5","0.31999999999999995","0.31999999999999995","0.31999999999999995","0.11428571428571428","0.11428571428571428","0.11428571428571428"
"48","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.25","0.25","0.25","0.11428571428571428","0.11428571428571428","0.11428571428571428"
"49","0.5999999999999999","0.5999999999999999","0.5999999999999999","0.2608695652173913","0.2608695652173913","0.2608695652173913","0.13793103448275862","0.13793103448275862","0.13793103448275862"
"50","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.22222222222222224","0.22222222222222224","0.22222222222222224","0.30303030303030304","0.30303030303030304","0.30303030303030304"
"51","0.6206896551724139","0.6206896551724139","0.6206896551724139","0.0909090909090909","0.0909090909090909","0.0909090909090909","0.12903225806451615","0.12903225806451615","0.12903225806451615"
"52","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.43749999999999994","0.43749999999999994","0.43749999999999994"
"53","0.5","0.5","0.5","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.24242424242424243","0.24242424242424243","0.24242424242424243"
"54","0.5","0.5","0.5","0.1739130434782609","0.1739130434782609","0.1739130434782609","0.06896551724137931","0.06896551724137931","0.06896551724137931"
"55","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.3478260869565218","0.3478260869565218","0.3478260869565218","0.1935483870967742","0.1935483870967742","0.1935483870967742"
"56","0.5806451612903226","0.5806451612903226","0.5806451612903226","0.30769230769230765","0.30769230769230765","0.30769230769230765","0.3225806451612903","0.3225806451612903","0.3225806451612903"
"57","0.5517241379310345","0.5517241379310345","0.5517241379310345","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"58","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.48","0.48","0.48","0.1935483870967742","0.1935483870967742","0.1935483870967742"
"59","0.5999999999999999","0.5999999999999999","0.5999999999999999","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"60","0.8000000000000002","0.8000000000000002","0.8000000000000002","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"61","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.31999999999999995","0.31999999999999995","0.31999999999999995","0.12903225806451615","0.12903225806451615","0.12903225806451615"
"62","0.6111111111111113","0.6111111111111113","0.6111111111111113","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"63","0.37837837837837834","0.37837837837837834","0.37837837837837834","0.5","0.5","0.5","0.25","0.25","0.25"
