"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)__MAX"
"26","0.7547058823529411","0.7547058823529411","0.7547058823529411","0.36211229946524065","0.36211229946524065","0.36211229946524065","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"27","0.4801820728291316","0.4801820728291316","0.4801820728291316","0.40823529411764703","0.40823529411764703","0.40823529411764703","0.18937908496732025","0.18937908496732025","0.18937908496732025"
"28","0.35718954248366014","0.35718954248366014","0.35718954248366014","0.5978151260504201","0.5978151260504201","0.5978151260504201","0.4189705882352941","0.4189705882352941","0.4189705882352941"
"29","0.7779411764705884","0.7779411764705884","0.7779411764705884","0.5400720876585929","0.5400720876585929","0.5400720876585929","0.1478733031674208","0.1478733031674208","0.1478733031674208"
"30","0.7514013840830449","0.7514013840830449","0.7514013840830449","0.5195588235294117","0.5195588235294117","0.5195588235294117","0.29459893048128344","0.29459893048128344","0.29459893048128344"
"31","0.5644416027280477","0.5644416027280477","0.5644416027280477","0.533235294117647","0.533235294117647","0.533235294117647","0.18888888888888888","0.18888888888888888","0.18888888888888888"
"32","0.6058823529411765","0.6058823529411765","0.6058823529411765","0.3838235294117647","0.3838235294117647","0.3838235294117647","0.3159803921568627","0.3159803921568627","0.3159803921568627"
"33","0.6626470588235294","0.6626470588235294","0.6626470588235294","0.38362745098039214","0.38362745098039214","0.38362745098039214","0.33649321266968324","0.33649321266968324","0.33649321266968324"
"34","0.5025163398692811","0.5025163398692811","0.5025163398692811","0.6237254901960785","0.6237254901960785","0.6237254901960785","0.20049019607843138","0.20049019607843138","0.20049019607843138"
"35","0.39936651583710403","0.39936651583710403","0.39936651583710403","0.42980908152734776","0.42980908152734776","0.42980908152734776","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"36","0.5442156862745098","0.5442156862745098","0.5442156862745098","0.6060733384262795","0.6060733384262795","0.6060733384262795","0.20049019607843138","0.20049019607843138","0.20049019607843138"
"37","0.4457563025210084","0.4457563025210084","0.4457563025210084","0.427156862745098","0.427156862745098","0.427156862745098","0.23323529411764707","0.23323529411764707","0.23323529411764707"
"38","0.776606334841629","0.776606334841629","0.776606334841629","0.37252100840336133","0.37252100840336133","0.37252100840336133","0.21401960784313726","0.21401960784313726","0.21401960784313726"
"39","0.6937306501547987","0.6937306501547987","0.6937306501547987","0.4848366013071896","0.4848366013071896","0.4848366013071896","0.32490196078431366","0.32490196078431366","0.32490196078431366"
"40","0.8394796380090498","0.8394796380090498","0.8394796380090498","0.514656862745098","0.514656862745098","0.514656862745098","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"41","0.6862605042016807","0.6862605042016807","0.6862605042016807","0.564201680672269","0.564201680672269","0.564201680672269","0.2338235294117647","0.2338235294117647","0.2338235294117647"
"42","0.38563025210084034","0.38563025210084034","0.38563025210084034","0.43433155080213903","0.43433155080213903","0.43433155080213903","0.15107843137254903","0.15107843137254903","0.15107843137254903"
"43","0.5058823529411764","0.5058823529411764","0.5058823529411764","0.5648039215686274","0.5648039215686274","0.5648039215686274","0.18382352941176472","0.18382352941176472","0.18382352941176472"
"44","0.8394796380090498","0.8394796380090498","0.8394796380090498","0.6064705882352941","0.6064705882352941","0.6064705882352941","0.19632352941176473","0.19632352941176473","0.19632352941176473"
"45","0.5565922158337019","0.5565922158337019","0.5565922158337019","0.4546078431372549","0.4546078431372549","0.4546078431372549","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"46","0.4617647058823529","0.4617647058823529","0.4617647058823529","0.5508823529411765","0.5508823529411765","0.5508823529411765","0.33649321266968324","0.33649321266968324","0.33649321266968324"
"47","0.5469607843137254","0.5469607843137254","0.5469607843137254","0.4326470588235294","0.4326470588235294","0.4326470588235294","0.18937908496732025","0.18937908496732025","0.18937908496732025"
"48","0.40794117647058825","0.40794117647058825","0.40794117647058825","0.36836134453781516","0.36836134453781516","0.36836134453781516","0.18937908496732025","0.18937908496732025","0.18937908496732025"
"49","0.6508597285067874","0.6508597285067874","0.6508597285067874","0.4200075414781297","0.4200075414781297","0.4200075414781297","0.21715686274509804","0.21715686274509804","0.21715686274509804"
"50","0.5879864253393665","0.5879864253393665","0.5879864253393665","0.30823529411764705","0.30823529411764705","0.30823529411764705","0.36330882352941174","0.36330882352941174","0.36330882352941174"
"51","0.8019187675070027","0.8019187675070027","0.8019187675070027","0.39447478991596635","0.39447478991596635","0.39447478991596635","0.20525210084033613","0.20525210084033613","0.20525210084033613"
"52","0.5694117647058823","0.5694117647058823","0.5694117647058823","0.3838235294117647","0.3838235294117647","0.3838235294117647","0.48921568627450984","0.48921568627450984","0.48921568627450984"
"53","0.5740641711229946","0.5740641711229946","0.5740641711229946","0.6482352941176471","0.6482352941176471","0.6482352941176471","0.3076470588235294","0.3076470588235294","0.3076470588235294"
"54","0.554313725490196","0.554313725490196","0.554313725490196","0.3988375350140056","0.3988375350140056","0.3988375350140056","0.15107843137254903","0.15107843137254903","0.15107843137254903"
"55","0.5314705882352941","0.5314705882352941","0.5314705882352941","0.47053921568627444","0.47053921568627444","0.47053921568627444","0.2653781512605042","0.2653781512605042","0.2653781512605042"
"56","0.6261344537815127","0.6261344537815127","0.6261344537815127","0.3441783380018674","0.3441783380018674","0.3441783380018674","0.38563025210084034","0.38563025210084034","0.38563025210084034"
"57","0.6133333333333333","0.6133333333333333","0.6133333333333333","0.5785329131652661","0.5785329131652661","0.5785329131652661","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"58","0.5879864253393665","0.5879864253393665","0.5879864253393665","0.6064705882352941","0.6064705882352941","0.6064705882352941","0.2653781512605042","0.2653781512605042","0.2653781512605042"
"59","0.6508597285067874","0.6508597285067874","0.6508597285067874","0.5636764705882353","0.5636764705882353","0.5636764705882353","0.29459893048128344","0.29459893048128344","0.29459893048128344"
"60","0.8394796380090498","0.8394796380090498","0.8394796380090498","0.6433333333333333","0.6433333333333333","0.6433333333333333","0.24647058823529414","0.24647058823529414","0.24647058823529414"
"61","0.6232352941176471","0.6232352941176471","0.6232352941176471","0.47134489693313225","0.47134489693313225","0.47134489693313225","0.20525210084033613","0.20525210084033613","0.20525210084033613"
"62","0.6992414860681114","0.6992414860681114","0.6992414860681114","0.42970588235294116","0.42970588235294116","0.42970588235294116","0.2519852941176471","0.2519852941176471","0.2519852941176471"
"63","0.4308823529411765","0.4308823529411765","0.4308823529411765","0.5740641711229946","0.5740641711229946","0.5740641711229946","0.3159803921568627","0.3159803921568627","0.3159803921568627"
"64","0.6447712418300653","0.6447712418300653","0.6447712418300653","0.6061764705882353","0.6061764705882353","0.6061764705882353","0.1478733031674208","0.1478733031674208","0.1478733031674208"
"65","0.5879864253393665","0.5879864253393665","0.5879864253393665","0.6005882352941176","0.6005882352941176","0.6005882352941176","0.1388235294117647","0.1388235294117647","0.1388235294117647"
"66","0.5981092436974791","0.5981092436974791","0.5981092436974791","0.4998663101604278","0.4998663101604278","0.4998663101604278","0.20525210084033613","0.20525210084033613","0.20525210084033613"
