"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS+)__MAX"
"12","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"13","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.35294117647058826","0.35294117647058826","0.35294117647058826","0","0","0"
"14","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"15","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"16","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"17","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"18","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.35294117647058826","0.35294117647058826","0.35294117647058826"
"19","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.47058823529411764","0.47058823529411764","0.47058823529411764"
"20","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"21","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"22","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.35294117647058826","0.35294117647058826","0.35294117647058826"
"23","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"24","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"25","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.47058823529411764","0.47058823529411764","0.47058823529411764"
"26","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"27","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"28","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.35294117647058826","0.35294117647058826","0.35294117647058826"
"29","0.7058823529411765","0.7058823529411765","0.7058823529411765","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"30","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"31","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0"
"32","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"33","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"34","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"35","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"36","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"37","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"38","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"39","0.7058823529411765","0.7058823529411765","0.7058823529411765","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"40","0.7058823529411765","0.7058823529411765","0.7058823529411765","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"41","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"42","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"43","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"44","0.7058823529411765","0.7058823529411765","0.7058823529411765","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"45","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"46","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"47","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"48","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"49","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"50","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"51","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"52","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.4117647058823529","0.4117647058823529","0.4117647058823529"
"53","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"54","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"55","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"56","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"57","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"58","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"59","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"60","0.7058823529411765","0.7058823529411765","0.7058823529411765","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"61","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"62","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"63","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"64","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"65","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"66","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"67","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"68","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"69","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"70","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"71","0.7058823529411765","0.7058823529411765","0.7058823529411765","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"72","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"73","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"74","0.8823529411764706","0.8823529411764706","0.8823529411764706","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"75","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"76","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"77","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"78","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"79","0.5882352941176471","0.5882352941176471","0.5882352941176471","0","0","0","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"80","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"81","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"82","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"83","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"84","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"85","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"86","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"87","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"88","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"89","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"90","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"91","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"92","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"93","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"94","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"95","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"96","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"97","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"98","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"99","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"100","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.058823529411764705","0.058823529411764705","0.058823529411764705"
