"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS+)__MAX"
"51","0.75","0.75","0.75","0.2","0.2","0.2","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"52","0.5294117647058824","0.5294117647058824","0.5294117647058824","0.5","0.5","0.5","0.4666666666666667","0.4666666666666667","0.4666666666666667"
"53","0.6363636363636364","0.6363636363636364","0.6363636363636364","1","1","1","0.25","0.25","0.25"
"54","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"55","0.6","0.6","0.6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"56","0.6428571428571429","0.6428571428571429","0.6428571428571429","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.35714285714285715","0.35714285714285715","0.35714285714285715"
"57","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.1875","0.1875","0.1875"
"58","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.75","0.75","0.75","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"59","0.6923076923076923","0.6923076923076923","0.6923076923076923","1","1","1","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"60","0.9230769230769231","0.9230769230769231","0.9230769230769231","1","1","1","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"61","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.5","0.5","0.5","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"62","0.5789473684210527","0.5789473684210527","0.5789473684210527","0.8","0.8","0.8","0.1875","0.1875","0.1875"
"63","0.35","0.35","0.35","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.26666666666666666","0.26666666666666666","0.26666666666666666"
"64","0.7777777777777778","0.7777777777777778","0.7777777777777778","1","1","1","0.07692307692307693","0.07692307692307693","0.07692307692307693"
"65","0.6153846153846154","0.6153846153846154","0.6153846153846154","0.8","0.8","0.8","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"66","0.6","0.6","0.6","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"67","0.8181818181818182","0.8181818181818182","0.8181818181818182","0.8","0.8","0.8","0.125","0.125","0.125"
"68","0.6","0.6","0.6","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"69","0.9","0.9","0.9","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"70","0.75","0.75","0.75","0.375","0.375","0.375","0.125","0.125","0.125"
