"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS+)__MAX"
"58","1040.1846923828125","1040.1846923828125","1040.1846923828125","1215.55126953125","1215.55126953125","1215.55126953125","12521.21484375","12521.21484375","12521.21484375"
"59","1094.3216552734375","1094.3216552734375","1094.3216552734375","1305.67041015625","1305.67041015625","1305.67041015625","13306.28515625","13306.28515625","13306.28515625"
"60","980.2072143554688","980.2072143554688","980.2072143554688","1341.4918212890625","1341.4918212890625","1341.4918212890625","9841.201171875","9841.201171875","9841.201171875"
"61","998.3777465820312","998.3777465820312","998.3777465820312","1268.0408935546875","1268.0408935546875","1268.0408935546875","12735.4248046875","12735.4248046875","12735.4248046875"
"62","1081.431640625","1081.431640625","1081.431640625","1176.991455078125","1176.991455078125","1176.991455078125","16092.744140625","16092.744140625","16092.744140625"
"63","1115.630615234375","1115.630615234375","1115.630615234375","1119.6688232421875","1119.6688232421875","1119.6688232421875","21845.947265625","21845.947265625","21845.947265625"
"64","990.5426635742188","990.5426635742188","990.5426635742188","1119.2315673828125","1119.2315673828125","1119.2315673828125","13609.8359375","13609.8359375","13609.8359375"
"65","1087.7333984375","1087.7333984375","1087.7333984375","1364.1295166015625","1364.1295166015625","1364.1295166015625","9713.8486328125","9713.8486328125","9713.8486328125"
"66","1003.5750732421875","1003.5750732421875","1003.5750732421875","1105.683837890625","1105.683837890625","1105.683837890625","20066.765625","20066.765625","20066.765625"
"67","1028.0068359375","1028.0068359375","1028.0068359375","1149.39208984375","1149.39208984375","1149.39208984375","10434.8544921875","10434.8544921875","10434.8544921875"
"68","961.8998413085938","961.8998413085938","961.8998413085938","1233.9388427734375","1233.9388427734375","1233.9388427734375","15081.58984375","15081.58984375","15081.58984375"
"69","1073.3177490234375","1073.3177490234375","1073.3177490234375","1291.7313232421875","1291.7313232421875","1291.7313232421875","12724.0126953125","12724.0126953125","12724.0126953125"
"70","1066.70947265625","1066.70947265625","1066.70947265625","1300.3753662109375","1300.3753662109375","1300.3753662109375","16117.3505859375","16117.3505859375","16117.3505859375"
"71","983.4183349609375","983.4183349609375","983.4183349609375","1314.373779296875","1314.373779296875","1314.373779296875","13103.4384765625","13103.4384765625","13103.4384765625"
"72","1053.389404296875","1053.389404296875","1053.389404296875","1509.3223876953125","1509.3223876953125","1509.3223876953125","15862.330078125","15862.330078125","15862.330078125"
"73","1088.32275390625","1088.32275390625","1088.32275390625","1137.9046630859375","1137.9046630859375","1137.9046630859375","16121.546875","16121.546875","16121.546875"
"74","914.9863891601562","914.9863891601562","914.9863891601562","1408.572265625","1408.572265625","1408.572265625","16647.501953125","16647.501953125","16647.501953125"
"75","1044.0631103515625","1044.0631103515625","1044.0631103515625","1191.8807373046875","1191.8807373046875","1191.8807373046875","17362.845703125","17362.845703125","17362.845703125"
"76","1088.186767578125","1088.186767578125","1088.186767578125","1208.32763671875","1208.32763671875","1208.32763671875","18798.400390625","18798.400390625","18798.400390625"
"77","1016.6781005859375","1016.6781005859375","1016.6781005859375","1340.525634765625","1340.525634765625","1340.525634765625","11468.2509765625","11468.2509765625","11468.2509765625"
"78","1057.9974365234375","1057.9974365234375","1057.9974365234375","1168.7305908203125","1168.7305908203125","1168.7305908203125","14177.83203125","14177.83203125","14177.83203125"
"79","1078.8070068359375","1078.8070068359375","1078.8070068359375","1241.717041015625","1241.717041015625","1241.717041015625","12982.4111328125","12982.4111328125","12982.4111328125"
"80","1101.909423828125","1101.909423828125","1101.909423828125","1204.526123046875","1204.526123046875","1204.526123046875","14993.5234375","14993.5234375","14993.5234375"
"81","1190.4805908203125","1190.4805908203125","1190.4805908203125","1214.098388671875","1214.098388671875","1214.098388671875","13960.767578125","13960.767578125","13960.767578125"
"82","1015.47314453125","1015.47314453125","1015.47314453125","1261.0211181640625","1261.0211181640625","1261.0211181640625","10633.470703125","10633.470703125","10633.470703125"
"83","1065.9381103515625","1065.9381103515625","1065.9381103515625","1241.9959716796875","1241.9959716796875","1241.9959716796875","17749.099609375","17749.099609375","17749.099609375"
"84","1033.1446533203125","1033.1446533203125","1033.1446533203125","1286.0992431640625","1286.0992431640625","1286.0992431640625","14925.373046875","14925.373046875","14925.373046875"
"85","1122.9420166015625","1122.9420166015625","1122.9420166015625","1201.1513671875","1201.1513671875","1201.1513671875","17135.24609375","17135.24609375","17135.24609375"
"86","1006.062255859375","1006.062255859375","1006.062255859375","1239.401123046875","1239.401123046875","1239.401123046875","11233.2822265625","11233.2822265625","11233.2822265625"
"87","988.4190063476562","988.4190063476562","988.4190063476562","1161.3243408203125","1161.3243408203125","1161.3243408203125","19068.228515625","19068.228515625","19068.228515625"
"88","1036.8311767578125","1036.8311767578125","1036.8311767578125","1300.1397705078125","1300.1397705078125","1300.1397705078125","10912.6611328125","10912.6611328125","10912.6611328125"
"89","993.6971435546875","993.6971435546875","993.6971435546875","1250.6322021484375","1250.6322021484375","1250.6322021484375","13242.9111328125","13242.9111328125","13242.9111328125"
"90","995.5087890625","995.5087890625","995.5087890625","1123.7305908203125","1123.7305908203125","1123.7305908203125","14318.97265625","14318.97265625","14318.97265625"
"91","981.8135375976562","981.8135375976562","981.8135375976562","1191.4356689453125","1191.4356689453125","1191.4356689453125","14320.0791015625","14320.0791015625","14320.0791015625"
"92","1156.795166015625","1156.795166015625","1156.795166015625","1152.4923095703125","1152.4923095703125","1152.4923095703125","12826.5849609375","12826.5849609375","12826.5849609375"
"93","1337.992431640625","1337.992431640625","1337.992431640625","1247.67236328125","1247.67236328125","1247.67236328125","22026.27734375","22026.27734375","22026.27734375"
"94","1164.30517578125","1164.30517578125","1164.30517578125","1318.2823486328125","1318.2823486328125","1318.2823486328125","14563.46484375","14563.46484375","14563.46484375"
"95","925.9591064453125","925.9591064453125","925.9591064453125","1259.981201171875","1259.981201171875","1259.981201171875","11682.5263671875","11682.5263671875","11682.5263671875"
"96","1011.0599975585938","1011.0599975585938","1011.0599975585938","1137.1182861328125","1137.1182861328125","1137.1182861328125","13206.537109375","13206.537109375","13206.537109375"
"97","1176.6912841796875","1176.6912841796875","1176.6912841796875","1177.733642578125","1177.733642578125","1177.733642578125","12407.36328125","12407.36328125","12407.36328125"
"98","1068.753173828125","1068.753173828125","1068.753173828125","1197.168701171875","1197.168701171875","1197.168701171875","12640.4990234375","12640.4990234375","12640.4990234375"
"99","969.6331176757812","969.6331176757812","969.6331176757812","1286.65185546875","1286.65185546875","1286.65185546875","17022.828125","17022.828125","17022.828125"
"100","1056.93408203125","1056.93408203125","1056.93408203125","1206.9644775390625","1206.9644775390625","1206.9644775390625","18829.708984375","18829.708984375","18829.708984375"
