"Step","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MAX"
"15","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"16","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"17","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"18","0.4","0.4","0.4","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"19","0.4","0.4","0.4","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.8","0.8","0.8"
"20","0.5","0.5","0.5","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"21","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.16666666666666666","0.16666666666666666","0.16666666666666666","0","0","0"
"22","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.2","0.2","0.2"
"23","0.2","0.2","0.2","0.5","0.5","0.5","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"24","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"25","0.2","0.2","0.2","0.3636363636363636","0.3636363636363636","0.3636363636363636","0","0","0"
"26","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2","0.2","0.2"
"27","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6","0.6","0.6"
"28","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"29","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.5","0.5","0.5","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"30","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.5","0.5","0.5","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"31","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"32","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"33","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.2","0.2","0.2","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"34","1","1","1","0.8000000000000002","0.8000000000000002","0.8000000000000002","0.6","0.6","0.6"
"35","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"36","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.4","0.4","0.4"
