"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MAX"
"12","574.2796630859375","574.2796630859375","574.2796630859375","702.0724487304688","702.0724487304688","702.0724487304688","2144.475830078125","2144.475830078125","2144.475830078125"
"13","581.693359375","581.693359375","581.693359375","652.7703857421875","652.7703857421875","652.7703857421875","1918.795654296875","1918.795654296875","1918.795654296875"
"14","587.7907104492188","587.7907104492188","587.7907104492188","660.7835693359375","660.7835693359375","660.7835693359375","2409.810791015625","2409.810791015625","2409.810791015625"
"15","625.8165893554688","625.8165893554688","625.8165893554688","613.221923828125","613.221923828125","613.221923828125","1628.255615234375","1628.255615234375","1628.255615234375"
"16","646.3145141601562","646.3145141601562","646.3145141601562","613.1494140625","613.1494140625","613.1494140625","1717.3665771484375","1717.3665771484375","1717.3665771484375"
"17","569.7616577148438","569.7616577148438","569.7616577148438","657.336669921875","657.336669921875","657.336669921875","1601.036376953125","1601.036376953125","1601.036376953125"
"18","604.0493774414062","604.0493774414062","604.0493774414062","601.7515258789062","601.7515258789062","601.7515258789062","1524.919189453125","1524.919189453125","1524.919189453125"
"19","657.3473510742188","657.3473510742188","657.3473510742188","582.7552490234375","582.7552490234375","582.7552490234375","1901.6488037109375","1901.6488037109375","1901.6488037109375"
"20","576.2508544921875","576.2508544921875","576.2508544921875","726.644287109375","726.644287109375","726.644287109375","1633.4224853515625","1633.4224853515625","1633.4224853515625"
"21","622.5108642578125","622.5108642578125","622.5108642578125","635.34423828125","635.34423828125","635.34423828125","1632.20703125","1632.20703125","1632.20703125"
"22","619.0953369140625","619.0953369140625","619.0953369140625","633.0498657226562","633.0498657226562","633.0498657226562","1463.430908203125","1463.430908203125","1463.430908203125"
"23","604.767578125","604.767578125","604.767578125","818.669677734375","818.669677734375","818.669677734375","2095.689453125","2095.689453125","2095.689453125"
"24","665.5480346679688","665.5480346679688","665.5480346679688","776.5958862304688","776.5958862304688","776.5958862304688","1850.957763671875","1850.957763671875","1850.957763671875"
"25","581.80517578125","581.80517578125","581.80517578125","626.7988891601562","626.7988891601562","626.7988891601562","1607.916015625","1607.916015625","1607.916015625"
"26","587.4012451171875","587.4012451171875","587.4012451171875","610.6693115234375","610.6693115234375","610.6693115234375","2028.435791015625","2028.435791015625","2028.435791015625"
"27","595.9605102539062","595.9605102539062","595.9605102539062","857.2305908203125","857.2305908203125","857.2305908203125","2999.405517578125","2999.405517578125","2999.405517578125"
"28","618.5459594726562","618.5459594726562","618.5459594726562","706.0043334960938","706.0043334960938","706.0043334960938","1926.6077880859375","1926.6077880859375","1926.6077880859375"
"29","599.4776000976562","599.4776000976562","599.4776000976562","563.1173095703125","563.1173095703125","563.1173095703125","1409.039794921875","1409.039794921875","1409.039794921875"
"30","665.8734130859375","665.8734130859375","665.8734130859375","718.23583984375","718.23583984375","718.23583984375","2113.2353515625","2113.2353515625","2113.2353515625"
"31","598.0593872070312","598.0593872070312","598.0593872070312","675.7462158203125","675.7462158203125","675.7462158203125","2322.6474609375","2322.6474609375","2322.6474609375"
"32","610.9713134765625","610.9713134765625","610.9713134765625","694.83203125","694.83203125","694.83203125","1608.21044921875","1608.21044921875","1608.21044921875"
"33","602.319091796875","602.319091796875","602.319091796875","639.9707641601562","639.9707641601562","639.9707641601562","1631.9813232421875","1631.9813232421875","1631.9813232421875"
"34","601.2691040039062","601.2691040039062","601.2691040039062","587.17578125","587.17578125","587.17578125","1533.3289794921875","1533.3289794921875","1533.3289794921875"
"35","608.1968383789062","608.1968383789062","608.1968383789062","778.5037841796875","778.5037841796875","778.5037841796875","2146.8037109375","2146.8037109375","2146.8037109375"
"36","696.2930908203125","696.2930908203125","696.2930908203125","706.0423583984375","706.0423583984375","706.0423583984375","1792.7681884765625","1792.7681884765625","1792.7681884765625"
"37","618.3666381835938","618.3666381835938","618.3666381835938","668.752197265625","668.752197265625","668.752197265625","2378.021240234375","2378.021240234375","2378.021240234375"
"38","650.7425537109375","650.7425537109375","650.7425537109375","623.6666259765625","623.6666259765625","623.6666259765625","1659.8209228515625","1659.8209228515625","1659.8209228515625"
"39","583.2379150390625","583.2379150390625","583.2379150390625","860.7531127929688","860.7531127929688","860.7531127929688","2946.0380859375","2946.0380859375","2946.0380859375"
