"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS)__MAX"
"72","1251.366455078125","1251.366455078125","1251.366455078125","848.8966674804688","848.8966674804688","848.8966674804688","2071.18798828125","2071.18798828125","2071.18798828125"
"73","802.81982421875","802.81982421875","802.81982421875","851.6569213867188","851.6569213867188","851.6569213867188","2465.82275390625","2465.82275390625","2465.82275390625"
"74","946.3076171875","946.3076171875","946.3076171875","1208.248046875","1208.248046875","1208.248046875","3063.727783203125","3063.727783203125","3063.727783203125"
"75","683.1524658203125","683.1524658203125","683.1524658203125","695.965087890625","695.965087890625","695.965087890625","1878.7564697265625","1878.7564697265625","1878.7564697265625"
"76","1080.3370361328125","1080.3370361328125","1080.3370361328125","1167.8404541015625","1167.8404541015625","1167.8404541015625","2811.590087890625","2811.590087890625","2811.590087890625"
"77","840.3905029296875","840.3905029296875","840.3905029296875","986.8262939453125","986.8262939453125","986.8262939453125","2748.9609375","2748.9609375","2748.9609375"
"78","918.4330444335938","918.4330444335938","918.4330444335938","889.507568359375","889.507568359375","889.507568359375","2305.08154296875","2305.08154296875","2305.08154296875"
"79","708.8267211914062","708.8267211914062","708.8267211914062","1208.841552734375","1208.841552734375","1208.841552734375","2954.744873046875","2954.744873046875","2954.744873046875"
"80","835.6345825195312","835.6345825195312","835.6345825195312","1038.38916015625","1038.38916015625","1038.38916015625","3188.16455078125","3188.16455078125","3188.16455078125"
"81","895.81787109375","895.81787109375","895.81787109375","1607.30126953125","1607.30126953125","1607.30126953125","3407.930908203125","3407.930908203125","3407.930908203125"
"82","735.6179809570312","735.6179809570312","735.6179809570312","784.3474731445312","784.3474731445312","784.3474731445312","2355.54052734375","2355.54052734375","2355.54052734375"
"83","917.39404296875","917.39404296875","917.39404296875","797.8168334960938","797.8168334960938","797.8168334960938","2040.0369873046875","2040.0369873046875","2040.0369873046875"
"84","815.0519409179688","815.0519409179688","815.0519409179688","812.3103637695312","812.3103637695312","812.3103637695312","2143.646728515625","2143.646728515625","2143.646728515625"
"85","863.0842895507812","863.0842895507812","863.0842895507812","1289.0025634765625","1289.0025634765625","1289.0025634765625","3339.501708984375","3339.501708984375","3339.501708984375"
"86","792.9197998046875","792.9197998046875","792.9197998046875","1030.2327880859375","1030.2327880859375","1030.2327880859375","2359.87109375","2359.87109375","2359.87109375"
"87","910.6342163085938","910.6342163085938","910.6342163085938","848.7809448242188","848.7809448242188","848.7809448242188","2236.0693359375","2236.0693359375","2236.0693359375"
"88","873.5320434570312","873.5320434570312","873.5320434570312","1201.3037109375","1201.3037109375","1201.3037109375","3433.873779296875","3433.873779296875","3433.873779296875"
"89","791.4666137695312","791.4666137695312","791.4666137695312","685.1385498046875","685.1385498046875","685.1385498046875","2257.58642578125","2257.58642578125","2257.58642578125"
"90","952.0103149414062","952.0103149414062","952.0103149414062","952.7922973632812","952.7922973632812","952.7922973632812","2924.36083984375","2924.36083984375","2924.36083984375"
"91","1093.3380126953125","1093.3380126953125","1093.3380126953125","6570.51904296875","6570.51904296875","6570.51904296875","6785.5771484375","6785.5771484375","6785.5771484375"
"92","748.303955078125","748.303955078125","748.303955078125","723.9956665039062","723.9956665039062","723.9956665039062","2102.199951171875","2102.199951171875","2102.199951171875"
"93","761.5028686523438","761.5028686523438","761.5028686523438","1090.5955810546875","1090.5955810546875","1090.5955810546875","1996.04052734375","1996.04052734375","1996.04052734375"
"94","850.577392578125","850.577392578125","850.577392578125","976.4723510742188","976.4723510742188","976.4723510742188","2197.03662109375","2197.03662109375","2197.03662109375"
"95","803.631103515625","803.631103515625","803.631103515625","1229.218505859375","1229.218505859375","1229.218505859375","2889.853759765625","2889.853759765625","2889.853759765625"
"96","1773.4656982421875","1773.4656982421875","1773.4656982421875","4425.1845703125","4425.1845703125","4425.1845703125","5802.373046875","5802.373046875","5802.373046875"
"97","794.8338012695312","794.8338012695312","794.8338012695312","787.71923828125","787.71923828125","787.71923828125","2728.37451171875","2728.37451171875","2728.37451171875"
"98","901.5712890625","901.5712890625","901.5712890625","1126.5289306640625","1126.5289306640625","1126.5289306640625","3824.8017578125","3824.8017578125","3824.8017578125"
"99","853.0225830078125","853.0225830078125","853.0225830078125","1110.2130126953125","1110.2130126953125","1110.2130126953125","3114.171142578125","3114.171142578125","3114.171142578125"
"100","792.968994140625","792.968994140625","792.968994140625","1326.931884765625","1326.931884765625","1326.931884765625","3063.4150390625","3063.4150390625","3063.4150390625"
