"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS)__MAX"
"77","0.9761904761904762","0.9761904761904762","0.9761904761904762","0.6815476190476191","0.6815476190476191","0.6815476190476191","0.8226190476190476","0.8226190476190476","0.8226190476190476"
"78","0.9428571428571428","0.9428571428571428","0.9428571428571428","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.6753968253968254","0.6753968253968254","0.6753968253968254"
"79","0.9761904761904763","0.9761904761904763","0.9761904761904763","0.721626984126984","0.721626984126984","0.721626984126984","0.9325396825396824","0.9325396825396824","0.9325396825396824"
"80","0.7666666666666666","0.7666666666666666","0.7666666666666666","0.751984126984127","0.751984126984127","0.751984126984127","0.8579365079365079","0.8579365079365079","0.8579365079365079"
"81","0.8777777777777778","0.8777777777777778","0.8777777777777778","0.780952380952381","0.780952380952381","0.780952380952381","0.4586820586820587","0.4586820586820587","0.4586820586820587"
"82","0.6686026936026935","0.6686026936026935","0.6686026936026935","0.8500000000000001","0.8500000000000001","0.8500000000000001","0.9275793650793651","0.9275793650793651","0.9275793650793651"
"83","1","1","1","0.7503968253968254","0.7503968253968254","0.7503968253968254","0.3983164983164983","0.3983164983164983","0.3983164983164983"
"84","0.8667508417508417","0.8667508417508417","0.8667508417508417","0.7628787878787879","0.7628787878787879","0.7628787878787879","0.47500000000000003","0.47500000000000003","0.47500000000000003"
"85","1","1","1","0.9277777777777778","0.9277777777777778","0.9277777777777778","0.9761904761904762","0.9761904761904762","0.9761904761904762"
"86","0.8555555555555555","0.8555555555555555","0.8555555555555555","0.9652777777777777","0.9652777777777777","0.9652777777777777","0.9464285714285715","0.9464285714285715","0.9464285714285715"
"87","0.9880952380952381","0.9880952380952381","0.9880952380952381","0.5746031746031746","0.5746031746031746","0.5746031746031746","0.8487584175084175","0.8487584175084175","0.8487584175084175"
"88","0.9484126984126984","0.9484126984126984","0.9484126984126984","0.9409722222222221","0.9409722222222221","0.9409722222222221","0.891468253968254","0.891468253968254","0.891468253968254"
"89","0.988095238095238","0.988095238095238","0.988095238095238","0.5987764550264549","0.5987764550264549","0.5987764550264549","0.9003156565656566","0.9003156565656566","0.9003156565656566"
"90","0.9761904761904762","0.9761904761904762","0.9761904761904762","0.8574074074074074","0.8574074074074074","0.8574074074074074","0.3763888888888889","0.3763888888888889","0.3763888888888889"
"91","0.9742063492063492","0.9742063492063492","0.9742063492063492","0.8846079846079845","0.8846079846079845","0.8846079846079845","0.9464285714285715","0.9464285714285715","0.9464285714285715"
"92","1","1","1","0.8324074074074074","0.8324074074074074","0.8324074074074074","0.8485449735449735","0.8485449735449735","0.8485449735449735"
"93","0.8912698412698412","0.8912698412698412","0.8912698412698412","0.7798611111111111","0.7798611111111111","0.7798611111111111","0.44375","0.44375","0.44375"
"94","0.8410714285714286","0.8410714285714286","0.8410714285714286","0.9354166666666666","0.9354166666666666","0.9354166666666666","0.9513888888888888","0.9513888888888888","0.9513888888888888"
"95","0.9513888888888888","0.9513888888888888","0.9513888888888888","0.9375000000000001","0.9375000000000001","0.9375000000000001","0.43214285714285716","0.43214285714285716","0.43214285714285716"
"96","0.9999999999999999","0.9999999999999999","0.9999999999999999","1","1","1","0.8291666666666666","0.8291666666666666","0.8291666666666666"
"97","1","1","1","1","1","1","0.8412698412698413","0.8412698412698413","0.8412698412698413"
"98","0.9061507936507937","0.9061507936507937","0.9061507936507937","0.8263888888888888","0.8263888888888888","0.8263888888888888","0.7513888888888888","0.7513888888888888","0.7513888888888888"
"99","0.9742063492063492","0.9742063492063492","0.9742063492063492","0.9037698412698412","0.9037698412698412","0.9037698412698412","0.9742063492063492","0.9742063492063492","0.9742063492063492"
"100","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.8543650793650792","0.8543650793650792","0.8543650793650792","0.3698611111111111","0.3698611111111111","0.3698611111111111"
