"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] F1 (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] F1 (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] F1 (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] F1 (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] F1 (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] F1 (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] F1 (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] F1 (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] F1 (DiBS)__MAX"
"56","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"57","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"58","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"59","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"60","0","0","0","0","0","0","0","0","0"
"61","0.5","0.5","0.5","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"62","0.888888888888889","0.888888888888889","0.888888888888889","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.33333333333333337"
"63","0","0","0","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.33333333333333337","0.33333333333333337"
"64","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"65","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"66","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"67","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"68","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.5","0.5","0.5","0.5","0.5","0.5"
"69","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"70","0.5","0.5","0.5","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"71","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"72","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"73","0","0","0","0","0","0","0","0","0"
"74","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.5","0.5","0.5","0","0","0"
"75","0","0","0","0","0","0","0","0","0"
"76","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"77","0.5","0.5","0.5","0","0","0","0","0","0"
"78","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0","0","0"
"79","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"80","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"81","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"82","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"83","0","0","0","0.5","0.5","0.5","0","0","0"
"84","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.5","0.5","0.5","0","0","0"
"85","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"86","0.5","0.5","0.5","0","0","0","0","0","0"
"87","0.5","0.5","0.5","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"88","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"89","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0.5","0.5","0.5"
"90","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.5","0.5","0.5","0","0","0"
"91","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"92","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"93","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0","0","0"
"94","0","0","0","0","0","0","0","0","0"
"95","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"96","0.8","0.8","0.8","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"97","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"98","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"99","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","0","0","0"
"100","0.5714285714285715","0.5714285714285715","0.5714285714285715","0.33333333333333337","0.33333333333333337","0.33333333333333337","0","0","0"
