"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS+)__MAX"
"22","0.7250000000000001","0.7250000000000001","0.7250000000000001","0.5166666666666666","0.5166666666666666","0.5166666666666666","0.6416666666666666","0.6416666666666666","0.6416666666666666"
"23","0.8166666666666667","0.8166666666666667","0.8166666666666667","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"24","0.8416666666666667","0.8416666666666667","0.8416666666666667","0.7666666666666667","0.7666666666666667","0.7666666666666667","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"25","1","1","1","0.5666666666666667","0.5666666666666667","0.5666666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"26","1","1","1","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.5166666666666666","0.5166666666666666","0.5166666666666666"
"27","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"28","0.8916666666666667","0.8916666666666667","0.8916666666666667","0.8416666666666668","0.8416666666666668","0.8416666666666668","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"29","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.8833333333333334","0.8833333333333334","0.8833333333333334","0.6583333333333332","0.6583333333333332","0.6583333333333332"
"30","0.8833333333333334","0.8833333333333334","0.8833333333333334","0.7333333333333333","0.7333333333333333","0.7333333333333333","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"31","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.8166666666666667","0.8166666666666667","0.8166666666666667","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"32","0.8250000000000001","0.8250000000000001","0.8250000000000001","0.9750000000000001","0.9750000000000001","0.9750000000000001","0.8500000000000001","0.8500000000000001","0.8500000000000001"
"33","0.8833333333333334","0.8833333333333334","0.8833333333333334","0.7250000000000001","0.7250000000000001","0.7250000000000001","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"34","0.9727272727272728","0.9727272727272728","0.9727272727272728","0.9","0.9","0.9","0.690909090909091","0.690909090909091","0.690909090909091"
"35","0.75","0.75","0.75","0.7833333333333333","0.7833333333333333","0.7833333333333333","1","1","1"
