"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUPRC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUPRC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUPRC (DiBS+)__MAX"
"39","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8625","0.8625","0.8625","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"40","0.5529761904761904","0.5529761904761904","0.5529761904761904","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.7614087301587302","0.7614087301587302","0.7614087301587302"
"41","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"42","0.8764880952380953","0.8764880952380953","0.8764880952380953","1","1","1","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"43","0.878968253968254","0.878968253968254","0.878968253968254","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667"
"44","0.8451388888888889","0.8451388888888889","0.8451388888888889","0.71875","0.71875","0.71875","0.71875","0.71875","0.71875"
"45","0.9261904761904762","0.9261904761904762","0.9261904761904762","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9479166666666667"
"46","0.799702380952381","0.799702380952381","0.799702380952381","0.6270833333333332","0.6270833333333332","0.6270833333333332","0.1875","0.1875","0.1875"
"47","1","1","1","0.6806547619047619","0.6806547619047619","0.6806547619047619","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"48","1","1","1","0.84375","0.84375","0.84375","1","1","1"
"49","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.84375","0.84375","0.84375","0.71875","0.71875","0.71875"
"50","0.8428571428571429","0.8428571428571429","0.8428571428571429","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.71875","0.71875","0.71875"
"51","0.8761904761904762","0.8761904761904762","0.8761904761904762","0.7291666666666665","0.7291666666666665","0.7291666666666665","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"52","0.7714616402116402","0.7714616402116402","0.7714616402116402","1","1","1","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"53","1","1","1","1","1","1","0.9241071428571429","0.9241071428571429","0.9241071428571429"
"54","0.7625","0.7625","0.7625","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"55","0.9603174603174602","0.9603174603174602","0.9603174603174602","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.8645833333333334","0.8645833333333334","0.8645833333333334"
"56","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.9201388888888888","0.9201388888888888","0.9201388888888888"
"57","0.6704545454545455","0.6704545454545455","0.6704545454545455","0.36458333333333337","0.36458333333333337","0.36458333333333337","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"58","0.7625","0.7625","0.7625","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.71875","0.71875","0.71875"
"59","0.8428571428571429","0.8428571428571429","0.8428571428571429","0.64375","0.64375","0.64375","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"60","0.8169642857142858","0.8169642857142858","0.8169642857142858","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8458333333333333","0.8458333333333333","0.8458333333333333"
"61","0.9261904761904762","0.9261904761904762","0.9261904761904762","0.71875","0.71875","0.71875","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"62","1","1","1","0.83125","0.83125","0.83125","0.7375","0.7375","0.7375"
"63","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.83125","0.83125","0.83125","0.49374999999999997","0.49374999999999997","0.49374999999999997"
"64","0.7625","0.7625","0.7625","0.71875","0.71875","0.71875","0.5159722222222223","0.5159722222222223","0.5159722222222223"
"65","1","1","1","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.64375","0.64375","0.64375"
"66","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.7243055555555555","0.7243055555555555","0.7243055555555555","0.84375","0.84375","0.84375"
"67","0.9553571428571428","0.9553571428571428","0.9553571428571428","0.5282738095238095","0.5282738095238095","0.5282738095238095","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"68","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.8458333333333333","0.8458333333333333","0.8458333333333333"
"69","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8645833333333334","0.8645833333333334","0.8645833333333334"
"70","0.8958333333333334","0.8958333333333334","0.8958333333333334","1","1","1","0.6553571428571429","0.6553571428571429","0.6553571428571429"
"71","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.558531746031746","0.558531746031746","0.558531746031746","0.7723214285714286","0.7723214285714286","0.7723214285714286"
"72","1","1","1","0.4583333333333333","0.4583333333333333","0.4583333333333333","0.5803571428571429","0.5803571428571429","0.5803571428571429"
"73","0.5437500000000001","0.5437500000000001","0.5437500000000001","0.3916666666666666","0.3916666666666666","0.3916666666666666","0.48041666666666666","0.48041666666666666","0.48041666666666666"
"74","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.8625","0.8625","0.8625","0.625","0.625","0.625"
"75","0.68125","0.68125","0.68125","0.739186507936508","0.739186507936508","0.739186507936508","0.5299603174603176","0.5299603174603176","0.5299603174603176"
"76","0.84375","0.84375","0.84375","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.71875","0.71875","0.71875"
"77","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.71875","0.71875","0.71875","0.825","0.825","0.825"
"78","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.71875","0.71875","0.71875"
"79","0.9261904761904762","0.9261904761904762","0.9261904761904762","0.64375","0.64375","0.64375","0.625","0.625","0.625"
"80","0.8125","0.8125","0.8125","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"81","0.9340277777777778","0.9340277777777778","0.9340277777777778","0.625","0.625","0.625","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"82","0.7222222222222222","0.7222222222222222","0.7222222222222222","0.8725198412698413","0.8725198412698413","0.8725198412698413","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"83","0.8368055555555556","0.8368055555555556","0.8368055555555556","0.47430555555555554","0.47430555555555554","0.47430555555555554","0.36458333333333337","0.36458333333333337","0.36458333333333337"
"84","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.7098214285714286","0.7098214285714286","0.7098214285714286","0.6386904761904761","0.6386904761904761","0.6386904761904761"
"85","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.84375","0.84375","0.84375"
"86","0.8058531746031746","0.8058531746031746","0.8058531746031746","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.6979166666666667","0.6979166666666667","0.6979166666666667"
"87","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.8268849206349207","0.8268849206349207","0.8268849206349207","0.7625","0.7625","0.7625"
"88","0.9340277777777778","0.9340277777777778","0.9340277777777778","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"89","1","1","1","0.7132936507936507","0.7132936507936507","0.7132936507936507","0.6145833333333333","0.6145833333333333","0.6145833333333333"
"90","0.7958333333333334","0.7958333333333334","0.7958333333333334","0.825","0.825","0.825","0.4916666666666667","0.4916666666666667","0.4916666666666667"
"91","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.71875","0.71875","0.71875","0.9479166666666667","0.9479166666666667","0.9479166666666667"
"92","0.8020833333333334","0.8020833333333334","0.8020833333333334","0.9479166666666667","0.9479166666666667","0.9479166666666667","0.71875","0.71875","0.71875"
"93","0.9603174603174602","0.9603174603174602","0.9603174603174602","0.47916666666666663","0.47916666666666663","0.47916666666666663","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"94","0.8958333333333333","0.8958333333333333","0.8958333333333333","0.6223214285714286","0.6223214285714286","0.6223214285714286","0.9479166666666667","0.9479166666666667","0.9479166666666667"
"95","0.7723214285714286","0.7723214285714286","0.7723214285714286","0.71875","0.71875","0.71875","0.84375","0.84375","0.84375"
"96","1","1","1","0.7625","0.7625","0.7625","0.8958333333333333","0.8958333333333333","0.8958333333333333"
"97","1","1","1","0.8368055555555556","0.8368055555555556","0.8368055555555556","0.71875","0.71875","0.71875"
"98","0.9880952380952381","0.9880952380952381","0.9880952380952381","0.6875","0.6875","0.6875","0.7291666666666666","0.7291666666666666","0.7291666666666666"
"99","0.9880952380952381","0.9880952380952381","0.9880952380952381","0.90625","0.90625","0.90625","0.7958333333333334","0.7958333333333334","0.7958333333333334"
"100","0.8979166666666667","0.8979166666666667","0.8979166666666667","0.93125","0.93125","0.93125","0.47500000000000003","0.47500000000000003","0.47500000000000003"
