"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS)__MAX"
"11","3.450000047683716","3.450000047683716","3.450000047683716","3.700000286102295","3.700000286102295","3.700000286102295","4.526315212249756","4.526315212249756","4.526315212249756"
"12","2.684210777282715","2.684210777282715","2.684210777282715","3.200000047683716","3.200000047683716","3.200000047683716","3.6315791606903076","3.6315791606903076","3.6315791606903076"
"13","3.263157606124878","3.263157606124878","3.263157606124878","3.450000047683716","3.450000047683716","3.450000047683716","4","4","4"
"14","3.6315791606903076","3.6315791606903076","3.6315791606903076","3.9499990940093994","3.9499990940093994","3.9499990940093994","4.611110210418701","4.611110210418701","4.611110210418701"
"15","3.450000047683716","3.450000047683716","3.450000047683716","4.34999942779541","4.34999942779541","4.34999942779541","4.235294342041016","4.235294342041016","4.235294342041016"
"16","3.65000057220459","3.65000057220459","3.65000057220459","4","4","4","4.25","4.25","4.25"
"17","3.3500008583068848","3.3500008583068848","3.3500008583068848","3.65000057220459","3.65000057220459","3.65000057220459","3.9411771297454834","3.9411771297454834","3.9411771297454834"
"18","4.1999993324279785","4.1999993324279785","4.1999993324279785","4.1999993324279785","4.1999993324279785","4.1999993324279785","4.333333969116211","4.333333969116211","4.333333969116211"
"19","4.050000190734863","4.050000190734863","4.050000190734863","4.099999904632568","4.099999904632568","4.099999904632568","4.888888835906982","4.888888835906982","4.888888835906982"
"20","3.2105259895324707","3.2105259895324707","3.2105259895324707","3.5263166427612305","3.5263166427612305","3.5263166427612305","4.052631378173828","4.052631378173828","4.052631378173828"
"21","3.700000286102295","3.700000286102295","3.700000286102295","3","3","3","3.8421061038970947","3.8421061038970947","3.8421061038970947"
"22","4.1999993324279785","4.1999993324279785","4.1999993324279785","4.600000381469727","4.600000381469727","4.600000381469727","4.315789222717285","4.315789222717285","4.315789222717285"
"23","2.8499999046325684","2.8499999046325684","2.8499999046325684","3.700000286102295","3.700000286102295","3.700000286102295","4.1999993324279785","4.1999993324279785","4.1999993324279785"
"24","3.6842100620269775","3.6842100620269775","3.6842100620269775","4.299999237060547","4.299999237060547","4.299999237060547","4.105264186859131","4.105264186859131","4.105264186859131"
"25","3.9499990940093994","3.9499990940093994","3.9499990940093994","4","4","4","4.368420600891113","4.368420600891113","4.368420600891113"
"26","3.5999999046325684","3.5999999046325684","3.5999999046325684","3.5882346630096436","3.5882346630096436","3.5882346630096436","4.105264186859131","4.105264186859131","4.105264186859131"
"27","2.8333332538604736","2.8333332538604736","2.8333332538604736","3.200000047683716","3.200000047683716","3.200000047683716","4.5333333015441895","4.5333333015441895","4.5333333015441895"
"28","3.65000057220459","3.65000057220459","3.65000057220459","3.700000286102295","3.700000286102295","3.700000286102295","3.8421061038970947","3.8421061038970947","3.8421061038970947"
"29","3.450000047683716","3.450000047683716","3.450000047683716","4.099999904632568","4.099999904632568","4.099999904632568","4.352941989898682","4.352941989898682","4.352941989898682"
"30","3.8421061038970947","3.8421061038970947","3.8421061038970947","3.90000057220459","3.90000057220459","3.90000057220459","4.700000286102295","4.700000286102295","4.700000286102295"
"31","3.3999998569488525","3.3999998569488525","3.3999998569488525","3.5999999046325684","3.5999999046325684","3.5999999046325684","4.149999141693115","4.149999141693115","4.149999141693115"
"32","3.5500004291534424","3.5500004291534424","3.5500004291534424","3.799999713897705","3.799999713897705","3.799999713897705","4","4","4"
"33","3.700000286102295","3.700000286102295","3.700000286102295","4.5","4.5","4.5","4.631579399108887","4.631579399108887","4.631579399108887"
"34","3.3999998569488525","3.3999998569488525","3.3999998569488525","3.65000057220459","3.65000057220459","3.65000057220459","4.294118404388428","4.294118404388428","4.294118404388428"
"35","3.9411771297454834","3.9411771297454834","3.9411771297454834","3.3684213161468506","3.3684213161468506","3.3684213161468506","3.8823530673980713","3.8823530673980713","3.8823530673980713"
"36","3.3500008583068848","3.3500008583068848","3.3500008583068848","4.099999904632568","4.099999904632568","4.099999904632568","5.111111164093018","5.111111164093018","5.111111164093018"
"37","3.4999992847442627","3.4999992847442627","3.4999992847442627","3.611111640930176","3.611111640930176","3.611111640930176","4","4","4"
"38","3.65000057220459","3.65000057220459","3.65000057220459","4.5","4.5","4.5","3.8421061038970947","3.8421061038970947","3.8421061038970947"
"39","2.736842155456543","2.736842155456543","2.736842155456543","2.950000047683716","2.950000047683716","2.950000047683716","3.7777774333953857","3.7777774333953857","3.7777774333953857"
"40","4.34999942779541","4.34999942779541","4.34999942779541","3.750000238418579","3.750000238418579","3.750000238418579","4.299999237060547","4.299999237060547","4.299999237060547"
"41","3.444444179534912","3.444444179534912","3.444444179534912","2.950000047683716","2.950000047683716","2.950000047683716","3.529412031173706","3.529412031173706","3.529412031173706"
"42","4.099999904632568","4.099999904632568","4.099999904632568","2.5999996662139893","2.5999996662139893","2.5999996662139893","4","4","4"
"43","3.0526316165924072","3.0526316165924072","3.0526316165924072","4.450000286102295","4.450000286102295","4.450000286102295","3.7894740104675293","3.7894740104675293","3.7894740104675293"
"44","3.5789475440979004","3.5789475440979004","3.5789475440979004","4.34999942779541","4.34999942779541","4.34999942779541","3.9444448947906494","3.9444448947906494","3.9444448947906494"
"45","3","3","3","3.157895088195801","3.157895088195801","3.157895088195801","3.263157606124878","3.263157606124878","3.263157606124878"
"46","4.34999942779541","4.34999942779541","4.34999942779541","4.550000190734863","4.550000190734863","4.550000190734863","5.210527420043945","5.210527420043945","5.210527420043945"
"47","3.0526316165924072","3.0526316165924072","3.0526316165924072","3.4999992847442627","3.4999992847442627","3.4999992847442627","3.750000238418579","3.750000238418579","3.750000238418579"
"48","2.789473533630371","2.789473533630371","2.789473533630371","3.5500004291534424","3.5500004291534424","3.5500004291534424","3.4999992847442627","3.4999992847442627","3.4999992847442627"
"49","3.450000047683716","3.450000047683716","3.450000047683716","4.600000381469727","4.600000381469727","4.600000381469727","4.388887882232666","4.388887882232666","4.388887882232666"
"50","3.84999942779541","3.84999942779541","3.84999942779541","4.099999904632568","4.099999904632568","4.099999904632568","4.5","4.5","4.5"
"51","3.799999713897705","3.799999713897705","3.799999713897705","3.894737482070923","3.894737482070923","3.894737482070923","4.3125","4.3125","4.3125"
"52","3.450000047683716","3.450000047683716","3.450000047683716","3","3","3","3.529412031173706","3.529412031173706","3.529412031173706"
