"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)__MAX"
"11","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.8916666666666667","0.8916666666666667","0.8916666666666667","0.7333333333333333","0.7333333333333333","0.7333333333333333"
"12","0.9833333333333333","0.9833333333333333","0.9833333333333333","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"13","0.9750000000000001","0.9750000000000001","0.9750000000000001","0.9583333333333333","0.9583333333333333","0.9583333333333333","0.9083333333333333","0.9083333333333333","0.9083333333333333"
"14","0.9083333333333332","0.9083333333333332","0.9083333333333332","0.8666666666666666","0.8666666666666666","0.8666666666666666","0.7416666666666667","0.7416666666666667","0.7416666666666667"
"15","0.9083333333333333","0.9083333333333333","0.9083333333333333","0.825","0.825","0.825","0.7583333333333333","0.7583333333333333","0.7583333333333333"
"16","0.8999999999999999","0.8999999999999999","0.8999999999999999","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.75","0.75","0.75"
"17","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.9666666666666667","0.9666666666666667","0.9666666666666667","1","1","1"
"18","0.7916666666666666","0.7916666666666666","0.7916666666666666","0.8750000000000001","0.8750000000000001","0.8750000000000001","0.6916666666666667","0.6916666666666667","0.6916666666666667"
"19","0.8583333333333334","0.8583333333333334","0.8583333333333334","0.9083333333333334","0.9083333333333334","0.9083333333333334","0.675","0.675","0.675"
"20","1","1","1","1","1","1","0.9083333333333332","0.9083333333333332","0.9083333333333332"
"21","0.9750000000000001","0.9750000000000001","0.9750000000000001","0.9666666666666667","0.9666666666666667","0.9666666666666667","0.9166666666666666","0.9166666666666666","0.9166666666666666"
