"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS+)__MAX"
"86","2","2","2","2","2","2","2.99998140335083","2.99998140335083","2.99998140335083"
"87","2","2","2","2","2","2","3","3","3"
"88","1.0000035762786865","1.0000035762786865","1.0000035762786865","1","1","1","4","4","4"
"89","2","2","2","2","2","2","4","4","4"
"90","2","2","2","2.97108793258667","2.97108793258667","2.97108793258667","4","4","4"
"91","1","1","1","3","3","3","1","1","1"
"92","2","2","2","1","1","1","3","3","3"
"93","2.0000758171081543","2.0000758171081543","2.0000758171081543","5.000000476837158","5.000000476837158","5.000000476837158","4","4","4"
"94","2","2","2","4","4","4","1","1","1"
"95","3","3","3","3","3","3","3","3","3"
"96","1.229162925272523e-22","1.229162925272523e-22","1.229162925272523e-22","3","3","3","2","2","2"
"97","1","1","1","2","2","2","3","3","3"
"98","1","1","1","3.0000014305114746","3.0000014305114746","3.0000014305114746","3","3","3"
"99","1","1","1","3","3","3","2","2","2"
"100","1","1","1","1","1","1","5.000000476837158","5.000000476837158","5.000000476837158"
