"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] neg. LL (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] neg. LL (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] neg. LL (DiBS)__MAX"
"17","2847.696044921875","2847.696044921875","2847.696044921875","1984.28466796875","1984.28466796875","1984.28466796875","18989.884765625","18989.884765625","18989.884765625"
"18","1414.727294921875","1414.727294921875","1414.727294921875","2050.33642578125","2050.33642578125","2050.33642578125","20876.982421875","20876.982421875","20876.982421875"
"19","1742.8721923828125","1742.8721923828125","1742.8721923828125","1590.4468994140625","1590.4468994140625","1590.4468994140625","17360.875","17360.875","17360.875"
"20","1340.302001953125","1340.302001953125","1340.302001953125","1367.8336181640625","1367.8336181640625","1367.8336181640625","16690.6796875","16690.6796875","16690.6796875"
"21","1347.2196044921875","1347.2196044921875","1347.2196044921875","1516.7071533203125","1516.7071533203125","1516.7071533203125","10867.3388671875","10867.3388671875","10867.3388671875"
"22","1470.978515625","1470.978515625","1470.978515625","1373.509521484375","1373.509521484375","1373.509521484375","14292.7646484375","14292.7646484375","14292.7646484375"
"23","1671.4307861328125","1671.4307861328125","1671.4307861328125","1530.54443359375","1530.54443359375","1530.54443359375","19693.697265625","19693.697265625","19693.697265625"
"24","1628.2471923828125","1628.2471923828125","1628.2471923828125","1749.943115234375","1749.943115234375","1749.943115234375","16680.255859375","16680.255859375","16680.255859375"
"25","1590.411376953125","1590.411376953125","1590.411376953125","1466.4263916015625","1466.4263916015625","1466.4263916015625","21600.681640625","21600.681640625","21600.681640625"
"26","1641.12890625","1641.12890625","1641.12890625","1511.4051513671875","1511.4051513671875","1511.4051513671875","17197.94921875","17197.94921875","17197.94921875"
"27","5792.86328125","5792.86328125","5792.86328125","1827.8936767578125","1827.8936767578125","1827.8936767578125","14819.083984375","14819.083984375","14819.083984375"
"28","1305.721435546875","1305.721435546875","1305.721435546875","1271.4593505859375","1271.4593505859375","1271.4593505859375","18182.677734375","18182.677734375","18182.677734375"
"29","1387.0902099609375","1387.0902099609375","1387.0902099609375","2008.3909912109375","2008.3909912109375","2008.3909912109375","15493.80078125","15493.80078125","15493.80078125"
"30","1313.35205078125","1313.35205078125","1313.35205078125","1250.2965087890625","1250.2965087890625","1250.2965087890625","15444.203125","15444.203125","15444.203125"
"31","2007.99072265625","2007.99072265625","2007.99072265625","1685.3419189453125","1685.3419189453125","1685.3419189453125","912407.25","912407.25","912407.25"
"32","1323.6527099609375","1323.6527099609375","1323.6527099609375","1379.7889404296875","1379.7889404296875","1379.7889404296875","15113.7275390625","15113.7275390625","15113.7275390625"
"33","1533.8394775390625","1533.8394775390625","1533.8394775390625","1506.233642578125","1506.233642578125","1506.233642578125","16221.298828125","16221.298828125","16221.298828125"
"34","3132.32275390625","3132.32275390625","3132.32275390625","1788.8980712890625","1788.8980712890625","1788.8980712890625","23525.849609375","23525.849609375","23525.849609375"
"35","1409.960693359375","1409.960693359375","1409.960693359375","1419.0892333984375","1419.0892333984375","1419.0892333984375","19623.28125","19623.28125","19623.28125"
"36","1277.5670166015625","1277.5670166015625","1277.5670166015625","1329.0550537109375","1329.0550537109375","1329.0550537109375","10798.5029296875","10798.5029296875","10798.5029296875"
"37","1659.134033203125","1659.134033203125","1659.134033203125","1400.2796630859375","1400.2796630859375","1400.2796630859375","19913.16796875","19913.16796875","19913.16796875"
"38","1989.5438232421875","1989.5438232421875","1989.5438232421875","2274.7529296875","2274.7529296875","2274.7529296875","20743.658203125","20743.658203125","20743.658203125"
"39","1493.352294921875","1493.352294921875","1493.352294921875","1504.193115234375","1504.193115234375","1504.193115234375","35675.64453125","35675.64453125","35675.64453125"
"40","1877.1463623046875","1877.1463623046875","1877.1463623046875","1493.1302490234375","1493.1302490234375","1493.1302490234375","11843.626953125","11843.626953125","11843.626953125"
"41","1466.9327392578125","1466.9327392578125","1466.9327392578125","1730.2056884765625","1730.2056884765625","1730.2056884765625","29532.15234375","29532.15234375","29532.15234375"
"42","2210.536865234375","2210.536865234375","2210.536865234375","1512.638671875","1512.638671875","1512.638671875","21169.78125","21169.78125","21169.78125"
"43","2098.8466796875","2098.8466796875","2098.8466796875","1756.5316162109375","1756.5316162109375","1756.5316162109375","17852.92578125","17852.92578125","17852.92578125"
"44","1641.11083984375","1641.11083984375","1641.11083984375","1494.322509765625","1494.322509765625","1494.322509765625","15890.4150390625","15890.4150390625","15890.4150390625"
"45","1479.99609375","1479.99609375","1479.99609375","1606.2730712890625","1606.2730712890625","1606.2730712890625","15172.21484375","15172.21484375","15172.21484375"
"46","1750.432861328125","1750.432861328125","1750.432861328125","2403.57568359375","2403.57568359375","2403.57568359375","15030.0439453125","15030.0439453125","15030.0439453125"
"47","1320.574462890625","1320.574462890625","1320.574462890625","1849.0911865234375","1849.0911865234375","1849.0911865234375","22308.646484375","22308.646484375","22308.646484375"
"48","1706.5902099609375","1706.5902099609375","1706.5902099609375","2446.79931640625","2446.79931640625","2446.79931640625","17833.798828125","17833.798828125","17833.798828125"
"49","1433.283935546875","1433.283935546875","1433.283935546875","1238.5616455078125","1238.5616455078125","1238.5616455078125","15522.8037109375","15522.8037109375","15522.8037109375"
"50","1363.585205078125","1363.585205078125","1363.585205078125","1650.7894287109375","1650.7894287109375","1650.7894287109375","23958.896484375","23958.896484375","23958.896484375"
"51","1550.43310546875","1550.43310546875","1550.43310546875","1466.378662109375","1466.378662109375","1466.378662109375","17831.828125","17831.828125","17831.828125"
"52","1494.0751953125","1494.0751953125","1494.0751953125","1987.00390625","1987.00390625","1987.00390625","20839.1484375","20839.1484375","20839.1484375"
"53","1254.54736328125","1254.54736328125","1254.54736328125","1331.0274658203125","1331.0274658203125","1331.0274658203125","15323.4306640625","15323.4306640625","15323.4306640625"
"54","1499.28369140625","1499.28369140625","1499.28369140625","1372.899169921875","1372.899169921875","1372.899169921875","17610.4375","17610.4375","17610.4375"
"55","1662.135986328125","1662.135986328125","1662.135986328125","1668.823486328125","1668.823486328125","1668.823486328125","15199.529296875","15199.529296875","15199.529296875"
"56","2292.892333984375","2292.892333984375","2292.892333984375","2878.14697265625","2878.14697265625","2878.14697265625","23867.10546875","23867.10546875","23867.10546875"
"57","1179.7244873046875","1179.7244873046875","1179.7244873046875","1315.3663330078125","1315.3663330078125","1315.3663330078125","77896.4765625","77896.4765625","77896.4765625"
"58","1416.761962890625","1416.761962890625","1416.761962890625","1359.023193359375","1359.023193359375","1359.023193359375","16571.849609375","16571.849609375","16571.849609375"
"59","1509.44970703125","1509.44970703125","1509.44970703125","1439.6231689453125","1439.6231689453125","1439.6231689453125","15005.2822265625","15005.2822265625","15005.2822265625"
"60","1524.583251953125","1524.583251953125","1524.583251953125","1683.06591796875","1683.06591796875","1683.06591796875","11909.55859375","11909.55859375","11909.55859375"
"61","2115.072021484375","2115.072021484375","2115.072021484375","1643.91943359375","1643.91943359375","1643.91943359375","17850.3046875","17850.3046875","17850.3046875"
"62","1837.654541015625","1837.654541015625","1837.654541015625","2135.45556640625","2135.45556640625","2135.45556640625","19116.44140625","19116.44140625","19116.44140625"
"63","2544.83642578125","2544.83642578125","2544.83642578125","1860.0867919921875","1860.0867919921875","1860.0867919921875","27257.220703125","27257.220703125","27257.220703125"
"64","2221.977783203125","2221.977783203125","2221.977783203125","1475.9993896484375","1475.9993896484375","1475.9993896484375","21213.880859375","21213.880859375","21213.880859375"
"65","1837.1104736328125","1837.1104736328125","1837.1104736328125","1594.5452880859375","1594.5452880859375","1594.5452880859375","12965.8681640625","12965.8681640625","12965.8681640625"
"66","1337.1025390625","1337.1025390625","1337.1025390625","1458.413818359375","1458.413818359375","1458.413818359375","22188.806640625","22188.806640625","22188.806640625"
"67","1427.7913818359375","1427.7913818359375","1427.7913818359375","1673.04638671875","1673.04638671875","1673.04638671875","16728.3671875","16728.3671875","16728.3671875"
"68","1227.2857666015625","1227.2857666015625","1227.2857666015625","1417.85693359375","1417.85693359375","1417.85693359375","30103.076171875","30103.076171875","30103.076171875"
"69","1406.7947998046875","1406.7947998046875","1406.7947998046875","1414.1796875","1414.1796875","1414.1796875","14933.544921875","14933.544921875","14933.544921875"
"70","1675.927978515625","1675.927978515625","1675.927978515625","1758.310791015625","1758.310791015625","1758.310791015625","16509.841796875","16509.841796875","16509.841796875"
"71","1499.041259765625","1499.041259765625","1499.041259765625","1622.494140625","1622.494140625","1622.494140625","16813.197265625","16813.197265625","16813.197265625"
"72","1516.3673095703125","1516.3673095703125","1516.3673095703125","2000.7652587890625","2000.7652587890625","2000.7652587890625","18649.974609375","18649.974609375","18649.974609375"
"73","1684.6573486328125","1684.6573486328125","1684.6573486328125","1400.8973388671875","1400.8973388671875","1400.8973388671875","18410.6484375","18410.6484375","18410.6484375"
"74","1657.644287109375","1657.644287109375","1657.644287109375","1505.0433349609375","1505.0433349609375","1505.0433349609375","18290.2265625","18290.2265625","18290.2265625"
"75","1220.2843017578125","1220.2843017578125","1220.2843017578125","1214.0787353515625","1214.0787353515625","1214.0787353515625","58301.32421875","58301.32421875","58301.32421875"
"76","1763.188720703125","1763.188720703125","1763.188720703125","1622.893310546875","1622.893310546875","1622.893310546875","33270.9609375","33270.9609375","33270.9609375"
"77","1425.0318603515625","1425.0318603515625","1425.0318603515625","1394.253173828125","1394.253173828125","1394.253173828125","13671.2744140625","13671.2744140625","13671.2744140625"
"78","1851.43701171875","1851.43701171875","1851.43701171875","1872.4664306640625","1872.4664306640625","1872.4664306640625","14177.83203125","14177.83203125","14177.83203125"
"79","1238.8486328125","1238.8486328125","1238.8486328125","1266.9227294921875","1266.9227294921875","1266.9227294921875","12292.0966796875","12292.0966796875","12292.0966796875"
"80","2283.453369140625","2283.453369140625","2283.453369140625","2058.628173828125","2058.628173828125","2058.628173828125","18698.4140625","18698.4140625","18698.4140625"
"81","2471.63671875","2471.63671875","2471.63671875","1752.7724609375","1752.7724609375","1752.7724609375","14565.798828125","14565.798828125","14565.798828125"
"82","1406.2301025390625","1406.2301025390625","1406.2301025390625","1309.47998046875","1309.47998046875","1309.47998046875","17052.642578125","17052.642578125","17052.642578125"
"83","2256.332763671875","2256.332763671875","2256.332763671875","1438.10693359375","1438.10693359375","1438.10693359375","23323.142578125","23323.142578125","23323.142578125"
"84","1372.8284912109375","1372.8284912109375","1372.8284912109375","2132.095703125","2132.095703125","2132.095703125","15312.6494140625","15312.6494140625","15312.6494140625"
"85","1357.8209228515625","1357.8209228515625","1357.8209228515625","1472.3271484375","1472.3271484375","1472.3271484375","43422.328125","43422.328125","43422.328125"
"86","1294.475830078125","1294.475830078125","1294.475830078125","1327.3526611328125","1327.3526611328125","1327.3526611328125","19739.19921875","19739.19921875","19739.19921875"
"87","1396.9244384765625","1396.9244384765625","1396.9244384765625","1780.0740966796875","1780.0740966796875","1780.0740966796875","20243.6796875","20243.6796875","20243.6796875"
"88","1179.3599853515625","1179.3599853515625","1179.3599853515625","1455.9222412109375","1455.9222412109375","1455.9222412109375","13056.5224609375","13056.5224609375","13056.5224609375"
"89","1594.3187255859375","1594.3187255859375","1594.3187255859375","2073.818603515625","2073.818603515625","2073.818603515625","14545.3935546875","14545.3935546875","14545.3935546875"
"90","1386.9288330078125","1386.9288330078125","1386.9288330078125","1474.20849609375","1474.20849609375","1474.20849609375","33590.80078125","33590.80078125","33590.80078125"
"91","1814.45068359375","1814.45068359375","1814.45068359375","1689.13037109375","1689.13037109375","1689.13037109375","14726.228515625","14726.228515625","14726.228515625"
"92","1380.431884765625","1380.431884765625","1380.431884765625","1723.6031494140625","1723.6031494140625","1723.6031494140625","14020.8369140625","14020.8369140625","14020.8369140625"
"93","4389.96435546875","4389.96435546875","4389.96435546875","2193.935791015625","2193.935791015625","2193.935791015625","30512.4921875","30512.4921875","30512.4921875"
"94","1784.3555908203125","1784.3555908203125","1784.3555908203125","1807.992431640625","1807.992431640625","1807.992431640625","18782.0390625","18782.0390625","18782.0390625"
"95","1355.1185302734375","1355.1185302734375","1355.1185302734375","1424.6922607421875","1424.6922607421875","1424.6922607421875","11682.5263671875","11682.5263671875","11682.5263671875"
"96","1635.8792724609375","1635.8792724609375","1635.8792724609375","1587.84716796875","1587.84716796875","1587.84716796875","16565.861328125","16565.861328125","16565.861328125"
"97","1521.6148681640625","1521.6148681640625","1521.6148681640625","1570.1669921875","1570.1669921875","1570.1669921875","15146.9873046875","15146.9873046875","15146.9873046875"
"98","1635.4691162109375","1635.4691162109375","1635.4691162109375","1607.3978271484375","1607.3978271484375","1607.3978271484375","15558.625","15558.625","15558.625"
"99","1595.362060546875","1595.362060546875","1595.362060546875","1611.053466796875","1611.053466796875","1611.053466796875","17022.828125","17022.828125","17022.828125"
"100","1541.2855224609375","1541.2855224609375","1541.2855224609375","1498.533935546875","1498.533935546875","1498.533935546875","20448.794921875","20448.794921875","20448.794921875"
