"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)__MAX"
"26","0.9776754075124026","0.9776754075124026","0.9776754075124026","0.8926293408929837","0.8926293408929837","0.8926293408929837","0.5492558469170802","0.5492558469170802","0.5492558469170802"
"27","0.927710843373494","0.927710843373494","0.927710843373494","0.7228915662650603","0.7228915662650603","0.7228915662650603","0.44826364280652026","0.44826364280652026","0.44826364280652026"
"28","0.940822111977321","0.940822111977321","0.940822111977321","0.6902905740609497","0.6902905740609497","0.6902905740609497","0.5694542877391922","0.5694542877391922","0.5694542877391922"
"29","0.965272856130404","0.965272856130404","0.965272856130404","0.828136073706591","0.828136073706591","0.828136073706591","0.5846917080085046","0.5846917080085046","0.5846917080085046"
"30","0.9677533664068037","0.9677533664068037","0.9677533664068037","0.7859673990077959","0.7859673990077959","0.7859673990077959","0.5400425230333097","0.5400425230333097","0.5400425230333097"
"31","0.9107016300496101","0.9107016300496101","0.9107016300496101","0.7087172218284904","0.7087172218284904","0.7087172218284904","0.5","0.5","0.5"
"32","0.9043231750531537","0.9043231750531537","0.9043231750531537","0.5985116938341601","0.5985116938341601","0.5985116938341601","0.6094968107725018","0.6094968107725018","0.6094968107725018"
"33","0.8841247342310419","0.8841247342310419","0.8841247342310419","0.7317505315379162","0.7317505315379162","0.7317505315379162","0.608433734939759","0.608433734939759","0.608433734939759"
"34","0.9787384833451452","0.9787384833451452","0.9787384833451452","0.7306874557051737","0.7306874557051737","0.7306874557051737","0.5513819985825656","0.5513819985825656","0.5513819985825656"
"35","0.931963146704465","0.931963146704465","0.931963146704465","0.8118355776045357","0.8118355776045357","0.8118355776045357","0.5662650602409639","0.5662650602409639","0.5662650602409639"
"36","0.9578313253012047","0.9578313253012047","0.9578313253012047","0.7923458540042524","0.7923458540042524","0.7923458540042524","0.664776754075124","0.664776754075124","0.664776754075124"
"37","0.8972360028348689","0.8972360028348689","0.8972360028348689","0.7834868887313962","0.7834868887313962","0.7834868887313962","0.615520907158044","0.615520907158044","0.615520907158044"
"38","0.9759036144578314","0.9759036144578314","0.9759036144578314","0.7579730687455706","0.7579730687455706","0.7579730687455706","0.5581148121899362","0.5581148121899362","0.5581148121899362"
"39","0.966690290574061","0.966690290574061","0.966690290574061","0.7849043231750531","0.7849043231750531","0.7849043231750531","0.6031183557760453","0.6031183557760453","0.6031183557760453"
"40","0.9925584691708008","0.9925584691708008","0.9925584691708008","0.8139617292700213","0.8139617292700213","0.8139617292700213","0.5545712260807938","0.5545712260807938","0.5545712260807938"
"41","0.9199149539333806","0.9199149539333806","0.9199149539333806","0.8433734939759037","0.8433734939759037","0.8433734939759037","0.45995747696669026","0.45995747696669026","0.45995747696669026"
"42","0.9184975194897236","0.9184975194897236","0.9184975194897236","0.7742735648476258","0.7742735648476258","0.7742735648476258","0.4631467044649185","0.4631467044649185","0.4631467044649185"
"43","0.8359319631467045","0.8359319631467045","0.8359319631467045","0.7955350815024804","0.7955350815024804","0.7955350815024804","0.44330262225372075","0.44330262225372075","0.44330262225372075"
"44","0.9787384833451453","0.9787384833451453","0.9787384833451453","0.9238128986534373","0.9238128986534373","0.9238128986534373","0.5889440113394755","0.5889440113394755","0.5889440113394755"
"45","0.8192771084337349","0.8192771084337349","0.8192771084337349","0.6204819277108434","0.6204819277108434","0.6204819277108434","0.4677533664068037","0.4677533664068037","0.4677533664068037"
"46","0.9429482636428065","0.9429482636428065","0.9429482636428065","0.820694542877392","0.820694542877392","0.820694542877392","0.5527994330262225","0.5527994330262225","0.5527994330262225"
"47","0.9255846917080085","0.9255846917080085","0.9255846917080085","0.6959603118355775","0.6959603118355775","0.6959603118355775","0.5102763997165132","0.5102763997165132","0.5102763997165132"
"48","0.9181431608788093","0.9181431608788093","0.9181431608788093","0.7820694542877391","0.7820694542877391","0.7820694542877391","0.44578313253012053","0.44578313253012053","0.44578313253012053"
"49","0.9663359319631467","0.9663359319631467","0.9663359319631467","0.7051736357193479","0.7051736357193479","0.7051736357193479","0.5279943302622253","0.5279943302622253","0.5279943302622253"
"50","0.8897944720056699","0.8897944720056699","0.8897944720056699","0.835223245924876","0.835223245924876","0.835223245924876","0.643160878809355","0.643160878809355","0.643160878809355"
"51","0.9386959603118357","0.9386959603118357","0.9386959603118357","0.859673990077959","0.859673990077959","0.859673990077959","0.5520907158043941","0.5520907158043941","0.5520907158043941"
"52","0.9057406094968108","0.9057406094968108","0.9057406094968108","0.7600992204110559","0.7600992204110559","0.7600992204110559","0.6771793054571227","0.6771793054571227","0.6771793054571227"
"53","0.9581856839121191","0.9581856839121191","0.9581856839121191","0.6559177888022679","0.6559177888022679","0.6559177888022679","0.5113394755492559","0.5113394755492559","0.5113394755492559"
"54","0.9284195605953225","0.9284195605953225","0.9284195605953225","0.7108433734939759","0.7108433734939759","0.7108433734939759","0.4603118355776046","0.4603118355776046","0.4603118355776046"
"55","0.9503897944720057","0.9503897944720057","0.9503897944720057","0.8245924875974486","0.8245924875974486","0.8245924875974486","0.5219702338766833","0.5219702338766833","0.5219702338766833"
"56","0.8830616583982991","0.8830616583982991","0.8830616583982991","0.7909284195605953","0.7909284195605953","0.7909284195605953","0.7016300496102055","0.7016300496102055","0.7016300496102055"
"57","0.9138908575478384","0.9138908575478384","0.9138908575478384","0.7409638554216867","0.7409638554216867","0.7409638554216867","0.5425230333097094","0.5425230333097094","0.5425230333097094"
"58","0.92487597448618","0.92487597448618","0.92487597448618","0.8121899362154501","0.8121899362154501","0.8121899362154501","0.5368532955350815","0.5368532955350815","0.5368532955350815"
"59","0.8433734939759037","0.8433734939759037","0.8433734939759037","0.7182849043231749","0.7182849043231749","0.7182849043231749","0.6580439404677534","0.6580439404677534","0.6580439404677534"
"60","0.9847625797306875","0.9847625797306875","0.9847625797306875","0.8022678951098511","0.8022678951098511","0.8022678951098511","0.6477675407512402","0.6477675407512402","0.6477675407512402"
"61","0.9801559177888022","0.9801559177888022","0.9801559177888022","0.8557760453579022","0.8557760453579022","0.8557760453579022","0.46704464918497524","0.46704464918497524","0.46704464918497524"
"62","0.9645641389085754","0.9645641389085754","0.9645641389085754","0.8054571226080793","0.8054571226080793","0.8054571226080793","0.5843373493975904","0.5843373493975904","0.5843373493975904"
"63","0.7636428065201983","0.7636428065201983","0.7636428065201983","0.7034018426647767","0.7034018426647767","0.7034018426647767","0.568036853295535","0.568036853295535","0.568036853295535"
"64","0.9939759036144579","0.9939759036144579","0.9939759036144579","0.856839121190645","0.856839121190645","0.856839121190645","0.5850460666194188","0.5850460666194188","0.5850460666194188"
"65","0.89900779588944","0.89900779588944","0.89900779588944","0.7618710134656272","0.7618710134656272","0.7618710134656272","0.5077958894401133","0.5077958894401133","0.5077958894401133"
"66","0.9131821403260099","0.9131821403260099","0.9131821403260099","0.7717930545712262","0.7717930545712262","0.7717930545712262","0.4503897944720057","0.4503897944720057","0.4503897944720057"
"67","0.9922041105598866","0.9922041105598866","0.9922041105598866","0.7909284195605952","0.7909284195605952","0.7909284195605952","0.6017009213323884","0.6017009213323884","0.6017009213323884"
"68","0.9291282778171509","0.9291282778171509","0.9291282778171509","0.7778171509567682","0.7778171509567682","0.7778171509567682","0.5659107016300496","0.5659107016300496","0.5659107016300496"
"69","0.9454287739192062","0.9454287739192062","0.9454287739192062","0.7710843373493977","0.7710843373493977","0.7710843373493977","0.620127569099929","0.620127569099929","0.620127569099929"
"70","0.9188518781006378","0.9188518781006378","0.9188518781006378","0.7519489723600283","0.7519489723600283","0.7519489723600283","0.5031892274982283","0.5031892274982283","0.5031892274982283"
"71","0.9617292700212614","0.9617292700212614","0.9617292700212614","0.8040396881644224","0.8040396881644224","0.8040396881644224","0.5386250885896527","0.5386250885896527","0.5386250885896527"
"72","0.9720056697377746","0.9720056697377746","0.9720056697377746","0.8075832742735649","0.8075832742735649","0.8075832742735649","0.6176470588235293","0.6176470588235293","0.6176470588235293"
"73","0.9156626506024097","0.9156626506024097","0.9156626506024097","0.710843373493976","0.710843373493976","0.710843373493976","0.5138199858256556","0.5138199858256556","0.5138199858256556"
"74","0.963855421686747","0.963855421686747","0.963855421686747","0.6853295535081504","0.6853295535081504","0.6853295535081504","0.6031183557760453","0.6031183557760453","0.6031183557760453"
"75","0.9610205527994331","0.9610205527994331","0.9610205527994331","0.7523033309709425","0.7523033309709425","0.7523033309709425","0.622962437987243","0.622962437987243","0.622962437987243"
"76","0.9861800141743444","0.9861800141743444","0.9861800141743444","0.8575478384124735","0.8575478384124735","0.8575478384124735","0.690999291282778","0.690999291282778","0.690999291282778"
"77","0.929128277817151","0.929128277817151","0.929128277817151","0.6608788093550673","0.6608788093550673","0.6608788093550673","0.5719347980155917","0.5719347980155917","0.5719347980155917"
