"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS)__MAX"
"80","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.5","0.5","0.5","1","1","1"
"81","1","1","1","0","0","0","0","0","0"
"82","1","1","1","0","0","0","0","0","0"
"83","1","1","1","1","1","1","0","0","0"
"84","1","1","1","0","0","0","0.375","0.375","0.375"
"85","0.6","0.6","0.6","0","0","0","0.25","0.25","0.25"
"86","0","0","0","0","0","0","0","0","0"
"87","0.8571428571428571","0.8571428571428571","0.8571428571428571","0","0","0","0","0","0"
"88","0.75","0.75","0.75","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"89","1","1","1","0.5","0.5","0.5","0.2","0.2","0.2"
"90","1","1","1","0","0","0","0","0","0"
"91","0.75","0.75","0.75","0","0","0","0.5","0.5","0.5"
"92","1","1","1","0","0","0","0.5","0.5","0.5"
"93","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"94","1","1","1","0","0","0","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"95","1","1","1","0.5","0.5","0.5","0.2777777777777778","0.2777777777777778","0.2777777777777778"
"96","0.8","0.8","0.8","1","1","1","0","0","0"
"97","1","1","1","1","1","1","1","1","1"
"98","0.8","0.8","0.8","0.5","0.5","0.5","0.25","0.25","0.25"
"99","1","1","1","1","1","1","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"100","0.6","0.6","0.6","0.5","0.5","0.5","0","0","0"
