"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS)__MAX"
"17","0.7600295673825087","0.7600295673825087","0.7600295673825087","0.6778171877199028","0.6778171877199028","0.6778171877199028","0.25617647058823523","0.25617647058823523","0.25617647058823523"
"18","0.7399617553582213","0.7399617553582213","0.7399617553582213","0.35786605551311435","0.35786605551311435","0.35786605551311435","0.19478306216103464","0.19478306216103464","0.19478306216103464"
"19","0.6280209902751572","0.6280209902751572","0.6280209902751572","0.3578271659541009","0.3578271659541009","0.3578271659541009","0.2666339869281046","0.2666339869281046","0.2666339869281046"
"20","0.6322058823529412","0.6322058823529412","0.6322058823529412","0.3761433664374841","0.3761433664374841","0.3761433664374841","0.13594346829640946","0.13594346829640946","0.13594346829640946"
"21","0.6242849698003125","0.6242849698003125","0.6242849698003125","0.5414208098099922","0.5414208098099922","0.5414208098099922","0.1740029525323643","0.1740029525323643","0.1740029525323643"
"22","0.9286339078271331","0.9286339078271331","0.9286339078271331","0.4754168509509067","0.4754168509509067","0.4754168509509067","0.23664045297263292","0.23664045297263292","0.23664045297263292"
"23","0.6871458990836152","0.6871458990836152","0.6871458990836152","0.7752395713187236","0.7752395713187236","0.7752395713187236","0.2328032648466085","0.2328032648466085","0.2328032648466085"
"24","0.7035847584647895","0.7035847584647895","0.7035847584647895","0.5003726339020456","0.5003726339020456","0.5003726339020456","0.21033463385354143","0.21033463385354143","0.21033463385354143"
"25","0.5728944148140186","0.5728944148140186","0.5728944148140186","0.3732947006553818","0.3732947006553818","0.3732947006553818","0.4044957983193277","0.4044957983193277","0.4044957983193277"
"26","0.8888060468942822","0.8888060468942822","0.8888060468942822","0.672391304347826","0.672391304347826","0.672391304347826","0.22014994232987314","0.22014994232987314","0.22014994232987314"
"27","0.6955600334116958","0.6955600334116958","0.6955600334116958","0.46403098273931254","0.46403098273931254","0.46403098273931254","0.13656492785793561","0.13656492785793561","0.13656492785793561"
"28","0.6951503040240486","0.6951503040240486","0.6951503040240486","0.46997665732959854","0.46997665732959854","0.46997665732959854","0.24741264927023443","0.24741264927023443","0.24741264927023443"
"29","0.8169934640522876","0.8169934640522876","0.8169934640522876","0.5879220779220778","0.5879220779220778","0.5879220779220778","0.22367747098839535","0.22367747098839535","0.22367747098839535"
"30","0.8279730442901799","0.8279730442901799","0.8279730442901799","0.5226155543802603","0.5226155543802603","0.5226155543802603","0.29459893048128344","0.29459893048128344","0.29459893048128344"
"31","0.7062040900276194","0.7062040900276194","0.7062040900276194","0.35764239028944916","0.35764239028944916","0.35764239028944916","0.18888888888888888","0.18888888888888888","0.18888888888888888"
"32","0.597857051317259","0.597857051317259","0.597857051317259","0.2561586452762923","0.2561586452762923","0.2561586452762923","0.33052472561351587","0.33052472561351587","0.33052472561351587"
"33","0.6121065084112408","0.6121065084112408","0.6121065084112408","0.45402517825311944","0.45402517825311944","0.45402517825311944","0.3473131955484897","0.3473131955484897","0.3473131955484897"
"34","0.8862020575407303","0.8862020575407303","0.8862020575407303","0.5389746424885744","0.5389746424885744","0.5389746424885744","0.2524922600619195","0.2524922600619195","0.2524922600619195"
"35","0.5444360650243003","0.5444360650243003","0.5444360650243003","0.5012681894346944","0.5012681894346944","0.5012681894346944","0.18876968636424818","0.18876968636424818","0.18876968636424818"
"36","0.8274422920532978","0.8274422920532978","0.8274422920532978","0.5516837169650469","0.5516837169650469","0.5516837169650469","0.31748173779315647","0.31748173779315647","0.31748173779315647"
"37","0.5000425559249088","0.5000425559249088","0.5000425559249088","0.5450763941940413","0.5450763941940413","0.5450763941940413","0.22762175838077164","0.22762175838077164","0.22762175838077164"
"38","0.8609625668449199","0.8609625668449199","0.8609625668449199","0.5640867955573838","0.5640867955573838","0.5640867955573838","0.18846702317290553","0.18846702317290553","0.18846702317290553"
"39","0.8482268596455448","0.8482268596455448","0.8482268596455448","0.5630060494264224","0.5630060494264224","0.5630060494264224","0.18293103448275863","0.18293103448275863","0.18293103448275863"
"40","0.969848615916955","0.969848615916955","0.969848615916955","0.6895301097027441","0.6895301097027441","0.6895301097027441","0.22830316742081447","0.22830316742081447","0.22830316742081447"
"41","0.6193395647028864","0.6193395647028864","0.6193395647028864","0.681172766103562","0.681172766103562","0.681172766103562","0.18548798743527448","0.18548798743527448","0.18548798743527448"
"42","0.7817865802113092","0.7817865802113092","0.7817865802113092","0.47705344307811104","0.47705344307811104","0.47705344307811104","0.15107843137254903","0.15107843137254903","0.15107843137254903"
"43","0.5012280675145607","0.5012280675145607","0.5012280675145607","0.4337156068100999","0.4337156068100999","0.4337156068100999","0.14134022839905194","0.14134022839905194","0.14134022839905194"
"44","0.8675303454715221","0.8675303454715221","0.8675303454715221","0.7824386393081828","0.7824386393081828","0.7824386393081828","0.19571760283060594","0.19571760283060594","0.19571760283060594"
"45","0.3604139097690965","0.3604139097690965","0.3604139097690965","0.31450226244343893","0.31450226244343893","0.31450226244343893","0.148974175035868","0.148974175035868","0.148974175035868"
"46","0.7274321266968325","0.7274321266968325","0.7274321266968325","0.5676245649775062","0.5676245649775062","0.5676245649775062","0.2567736504261812","0.2567736504261812","0.2567736504261812"
"47","0.6803751287736869","0.6803751287736869","0.6803751287736869","0.356279602750191","0.356279602750191","0.356279602750191","0.3082449058054595","0.3082449058054595","0.3082449058054595"
"48","0.7470205703843167","0.7470205703843167","0.7470205703843167","0.36122832679987754","0.36122832679987754","0.36122832679987754","0.15238363430478574","0.15238363430478574","0.15238363430478574"
"49","0.8590144816096373","0.8590144816096373","0.8590144816096373","0.43385026737967913","0.43385026737967913","0.43385026737967913","0.24471044231646147","0.24471044231646147","0.24471044231646147"
"50","0.74002357261463","0.74002357261463","0.74002357261463","0.5579641218189404","0.5579641218189404","0.5579641218189404","0.21588228201818466","0.21588228201818466","0.21588228201818466"
"51","0.687140265813518","0.687140265813518","0.687140265813518","0.6165792262851086","0.6165792262851086","0.6165792262851086","0.1645369211514393","0.1645369211514393","0.1645369211514393"
"52","0.6545297275237639","0.6545297275237639","0.6545297275237639","0.4682359552212494","0.4682359552212494","0.4682359552212494","0.41854631507775525","0.41854631507775525","0.41854631507775525"
"53","0.71482865085638","0.71482865085638","0.71482865085638","0.5523856209150326","0.5523856209150326","0.5523856209150326","0.21021008403361344","0.21021008403361344","0.21021008403361344"
"54","0.6796542706786115","0.6796542706786115","0.6796542706786115","0.33761875237578565","0.33761875237578565","0.33761875237578565","0.16865325077399382","0.16865325077399382","0.16865325077399382"
"55","0.721175370568985","0.721175370568985","0.721175370568985","0.6181824913873595","0.6181824913873595","0.6181824913873595","0.2653781512605042","0.2653781512605042","0.2653781512605042"
"56","0.4877201614916556","0.4877201614916556","0.4877201614916556","0.4077294517127734","0.4077294517127734","0.4077294517127734","0.4274987430869784","0.4274987430869784","0.4274987430869784"
"57","0.5790112536242568","0.5790112536242568","0.5790112536242568","0.39129855982797157","0.39129855982797157","0.39129855982797157","0.21558823529411764","0.21558823529411764","0.21558823529411764"
"58","0.6303004635876608","0.6303004635876608","0.6303004635876608","0.5372100420758098","0.5372100420758098","0.5372100420758098","0.30447712418300654","0.30447712418300654","0.30447712418300654"
"59","0.5134111638701093","0.5134111638701093","0.5134111638701093","0.38463458110516935","0.38463458110516935","0.38463458110516935","0.23928571428571432","0.23928571428571432","0.23928571428571432"
"60","0.9256193188737947","0.9256193188737947","0.9256193188737947","0.6246778711484594","0.6246778711484594","0.6246778711484594","0.23578115117014548","0.23578115117014548","0.23578115117014548"
"61","0.9117965367965368","0.9117965367965368","0.9117965367965368","0.5471299500192234","0.5471299500192234","0.5471299500192234","0.13993056639101265","0.13993056639101265","0.13993056639101265"
"62","0.8685583207642031","0.8685583207642031","0.8685583207642031","0.6660332019155548","0.6660332019155548","0.6660332019155548","0.3070588235294117","0.3070588235294117","0.3070588235294117"
"63","0.3926621866003721","0.3926621866003721","0.3926621866003721","0.2932730212141203","0.2932730212141203","0.2932730212141203","0.24068627450980393","0.24068627450980393","0.24068627450980393"
"64","0.9684712346477053","0.9684712346477053","0.9684712346477053","0.6380672268907563","0.6380672268907563","0.6380672268907563","0.23668067226890754","0.23668067226890754","0.23668067226890754"
"65","0.5025062656641603","0.5025062656641603","0.5025062656641603","0.5847813569872393","0.5847813569872393","0.5847813569872393","0.20223821443471002","0.20223821443471002","0.20223821443471002"
"66","0.6990228771638123","0.6990228771638123","0.6990228771638123","0.49918981087711733","0.49918981087711733","0.49918981087711733","0.17864145658263308","0.17864145658263308","0.17864145658263308"
"67","0.9674789915966386","0.9674789915966386","0.9674789915966386","0.7266555183946488","0.7266555183946488","0.7266555183946488","0.2067864717044313","0.2067864717044313","0.2067864717044313"
"68","0.5793963749629839","0.5793963749629839","0.5793963749629839","0.5142330953360364","0.5142330953360364","0.5142330953360364","0.23047573868256982","0.23047573868256982","0.23047573868256982"
"69","0.8169510332737214","0.8169510332737214","0.8169510332737214","0.7044265941670786","0.7044265941670786","0.7044265941670786","0.308742201426025","0.308742201426025","0.308742201426025"
"70","0.8075054466230938","0.8075054466230938","0.8075054466230938","0.6525989370107018","0.6525989370107018","0.6525989370107018","0.2696035805626599","0.2696035805626599","0.2696035805626599"
"71","0.8149976877659871","0.8149976877659871","0.8149976877659871","0.5360460191981931","0.5360460191981931","0.5360460191981931","0.1920889511991409","0.1920889511991409","0.1920889511991409"
"72","0.8727044197632433","0.8727044197632433","0.8727044197632433","0.4911454409349947","0.4911454409349947","0.4911454409349947","0.27544891640866875","0.27544891640866875","0.27544891640866875"
"73","0.6455838567430262","0.6455838567430262","0.6455838567430262","0.4079025549613785","0.4079025549613785","0.4079025549613785","0.1425609756097561","0.1425609756097561","0.1425609756097561"
"74","0.7270149799050054","0.7270149799050054","0.7270149799050054","0.45010143451319923","0.45010143451319923","0.45010143451319923","0.2814066496163683","0.2814066496163683","0.2814066496163683"
"75","0.6834081143769725","0.6834081143769725","0.6834081143769725","0.6446122994652407","0.6446122994652407","0.6446122994652407","0.4367423411258334","0.4367423411258334","0.4367423411258334"
"76","0.923338779956427","0.923338779956427","0.923338779956427","0.6205526066225864","0.6205526066225864","0.6205526066225864","0.3186371018995834","0.3186371018995834","0.3186371018995834"
"77","0.6342896787510701","0.6342896787510701","0.6342896787510701","0.42689075630252105","0.42689075630252105","0.42689075630252105","0.17500000000000002","0.17500000000000002","0.17500000000000002"
"78","0.6212261268143621","0.6212261268143621","0.6212261268143621","0.3833492313213675","0.3833492313213675","0.3833492313213675","0.3159803921568627","0.3159803921568627","0.3159803921568627"
"79","0.7856633562515917","0.7856633562515917","0.7856633562515917","0.5040196078431372","0.5040196078431372","0.5040196078431372","0.1706896551724138","0.1706896551724138","0.1706896551724138"
"80","0.8800369891546362","0.8800369891546362","0.8800369891546362","0.5570202125515218","0.5570202125515218","0.5570202125515218","0.4561764705882353","0.4561764705882353","0.4561764705882353"
"81","0.5103496864332777","0.5103496864332777","0.5103496864332777","0.3411612575489829","0.3411612575489829","0.3411612575489829","0.1988461538461539","0.1988461538461539","0.1988461538461539"
"82","0.8781894167923581","0.8781894167923581","0.8781894167923581","0.402843137254902","0.402843137254902","0.402843137254902","0.23209584533113947","0.23209584533113947","0.23209584533113947"
"83","0.6758408930951861","0.6758408930951861","0.6758408930951861","0.36887254901960786","0.36887254901960786","0.36887254901960786","0.18","0.18","0.18"
"84","0.7971866060101355","0.7971866060101355","0.7971866060101355","0.4158914685768905","0.4158914685768905","0.4158914685768905","0.3511764705882353","0.3511764705882353","0.3511764705882353"
"85","0.4650293380039882","0.4650293380039882","0.4650293380039882","0.335734309638975","0.335734309638975","0.335734309638975","0.23051629939901655","0.23051629939901655","0.23051629939901655"
"86","0.8538864495535649","0.8538864495535649","0.8538864495535649","0.6949732620320856","0.6949732620320856","0.6949732620320856","0.2605637254901961","0.2605637254901961","0.2605637254901961"
"87","0.84213731529908","0.84213731529908","0.84213731529908","0.5174785508609038","0.5174785508609038","0.5174785508609038","0.1988888888888889","0.1988888888888889","0.1988888888888889"
"88","0.6354205096672816","0.6354205096672816","0.6354205096672816","0.5630320020984982","0.5630320020984982","0.5630320020984982","0.21919111378566775","0.21919111378566775","0.21919111378566775"
"89","0.8576260340966224","0.8576260340966224","0.8576260340966224","0.5576285192569267","0.5576285192569267","0.5576285192569267","0.23035947712418303","0.23035947712418303","0.23035947712418303"
"90","0.9430626598465475","0.9430626598465475","0.9430626598465475","0.7170965309200603","0.7170965309200603","0.7170965309200603","0.22964656450815618","0.22964656450815618","0.22964656450815618"
"91","0.6639748359057822","0.6639748359057822","0.6639748359057822","0.49780386596325876","0.49780386596325876","0.49780386596325876","0.31470588235294117","0.31470588235294117","0.31470588235294117"
"92","0.8481574647402821","0.8481574647402821","0.8481574647402821","0.5889436626509742","0.5889436626509742","0.5889436626509742","0.3546184419713832","0.3546184419713832","0.3546184419713832"
"93","0.41975889331362365","0.41975889331362365","0.41975889331362365","0.427183257918552","0.427183257918552","0.427183257918552","0.3075570280813247","0.3075570280813247","0.3075570280813247"
"94","0.8835050913998282","0.8835050913998282","0.8835050913998282","0.36676074777737183","0.36676074777737183","0.36676074777737183","0.22498452012383902","0.22498452012383902","0.22498452012383902"
"95","0.9145566922421143","0.9145566922421143","0.9145566922421143","0.5726863332745685","0.5726863332745685","0.5726863332745685","0.3459477124183007","0.3459477124183007","0.3459477124183007"
"96","0.7049038463744346","0.7049038463744346","0.7049038463744346","0.6043768137885785","0.6043768137885785","0.6043768137885785","0.18338235294117647","0.18338235294117647","0.18338235294117647"
"97","0.6750759697452933","0.6750759697452933","0.6750759697452933","0.5917837522005707","0.5917837522005707","0.5917837522005707","0.347192513368984","0.347192513368984","0.347192513368984"
"98","0.8672703401942156","0.8672703401942156","0.8672703401942156","0.6956331903390727","0.6956331903390727","0.6956331903390727","0.22936974789915968","0.22936974789915968","0.22936974789915968"
"99","0.8415737847585971","0.8415737847585971","0.8415737847585971","0.477526176579885","0.477526176579885","0.477526176579885","0.3255042016806723","0.3255042016806723","0.3255042016806723"
"100","0.5136252540231778","0.5136252540231778","0.5136252540231778","0.3394246360095616","0.3394246360095616","0.3394246360095616","0.1671945701357466","0.1671945701357466","0.1671945701357466"
